"","Statistic","Domestic.or.Import.Source","Month","value"
"440","Fat Content (%)","Domestic","1981M02",3.48
"441","Protein Content (%)","Domestic","1981M02",3.2
"442","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M02",NA
"443","Fat Content (%)","Import","1981M02",NA
"444","Protein Content (%)","Import","1981M02",NA
"445","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M03",338.3
"446","Fat Content (%)","Domestic","1981M03",3.39
"447","Protein Content (%)","Domestic","1981M03",2.9
"448","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M03",NA
"449","Fat Content (%)","Import","1981M03",NA
"450","Protein Content (%)","Import","1981M03",NA
"451","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M04",536.5
"452","Fat Content (%)","Domestic","1981M04",3.32
"453","Protein Content (%)","Domestic","1981M04",3.15
"454","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M04",NA
"455","Fat Content (%)","Import","1981M04",NA
"456","Protein Content (%)","Import","1981M04",NA
"457","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M05",669.7
"458","Fat Content (%)","Domestic","1981M05",3.33
"459","Protein Content (%)","Domestic","1981M05",3.24
"460","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M05",NA
"461","Fat Content (%)","Import","1981M05",NA
"462","Protein Content (%)","Import","1981M05",NA
"463","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M06",621.3
"464","Fat Content (%)","Domestic","1981M06",3.38
"465","Protein Content (%)","Domestic","1981M06",3.24
"466","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M06",NA
"467","Fat Content (%)","Import","1981M06",NA
"468","Protein Content (%)","Import","1981M06",NA
"469","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M07",599.1
"470","Fat Content (%)","Domestic","1981M07",3.41
"471","Protein Content (%)","Domestic","1981M07",3.25
"472","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M07",NA
"473","Fat Content (%)","Import","1981M07",NA
"474","Protein Content (%)","Import","1981M07",NA
"475","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M08",518.4
"476","Fat Content (%)","Domestic","1981M08",3.5
"477","Protein Content (%)","Domestic","1981M08",3.25
"478","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M08",NA
"479","Fat Content (%)","Import","1981M08",NA
"480","Protein Content (%)","Import","1981M08",NA
"481","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M09",383.5
"482","Fat Content (%)","Domestic","1981M09",3.76
"483","Protein Content (%)","Domestic","1981M09",3.56
"484","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M09",NA
"485","Fat Content (%)","Import","1981M09",NA
"486","Protein Content (%)","Import","1981M09",NA
"487","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M10",258.8
"488","Fat Content (%)","Domestic","1981M10",4.06
"489","Protein Content (%)","Domestic","1981M10",3.86
"490","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M10",NA
"491","Fat Content (%)","Import","1981M10",NA
"492","Protein Content (%)","Import","1981M10",NA
"493","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M11",127
"494","Fat Content (%)","Domestic","1981M11",4.11
"495","Protein Content (%)","Domestic","1981M11",3.94
"496","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M11",NA
"497","Fat Content (%)","Import","1981M11",NA
"498","Protein Content (%)","Import","1981M11",NA
"499","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1981M12",85
"500","Fat Content (%)","Domestic","1981M12",3.8
"501","Protein Content (%)","Domestic","1981M12",3.72
"502","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1981M12",NA
"503","Fat Content (%)","Import","1981M12",NA
"504","Protein Content (%)","Import","1981M12",NA
"505","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M01",101.8
"506","Fat Content (%)","Domestic","1982M01",3.62
"507","Protein Content (%)","Domestic","1982M01",3.27
"508","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M01",NA
"509","Fat Content (%)","Import","1982M01",NA
"510","Protein Content (%)","Import","1982M01",NA
"511","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M02",190.5
"512","Fat Content (%)","Domestic","1982M02",3.46
"513","Protein Content (%)","Domestic","1982M02",3.12
"514","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M02",NA
"515","Fat Content (%)","Import","1982M02",NA
"516","Protein Content (%)","Import","1982M02",NA
"517","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M03",362.4
"518","Fat Content (%)","Domestic","1982M03",3.36
"519","Protein Content (%)","Domestic","1982M03",3.03
"520","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M03",NA
"521","Fat Content (%)","Import","1982M03",NA
"522","Protein Content (%)","Import","1982M03",NA
"523","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M04",553
"524","Fat Content (%)","Domestic","1982M04",3.29
"525","Protein Content (%)","Domestic","1982M04",3.09
"526","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M04",NA
"527","Fat Content (%)","Import","1982M04",NA
"528","Protein Content (%)","Import","1982M04",NA
"529","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M05",721
"530","Fat Content (%)","Domestic","1982M05",3.31
"531","Protein Content (%)","Domestic","1982M05",3.34
"532","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M05",NA
"533","Fat Content (%)","Import","1982M05",NA
"534","Protein Content (%)","Import","1982M05",NA
"535","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M06",682.9
"536","Fat Content (%)","Domestic","1982M06",3.37
"537","Protein Content (%)","Domestic","1982M06",3.34
"538","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M06",NA
"539","Fat Content (%)","Import","1982M06",NA
"540","Protein Content (%)","Import","1982M06",NA
"541","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M07",626.5
"542","Fat Content (%)","Domestic","1982M07",3.42
"543","Protein Content (%)","Domestic","1982M07",3.3
"544","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M07",NA
"545","Fat Content (%)","Import","1982M07",NA
"546","Protein Content (%)","Import","1982M07",NA
"547","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M08",544.8
"548","Fat Content (%)","Domestic","1982M08",3.52
"549","Protein Content (%)","Domestic","1982M08",3.29
"550","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M08",NA
"551","Fat Content (%)","Import","1982M08",NA
"552","Protein Content (%)","Import","1982M08",NA
"553","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M09",437
"554","Fat Content (%)","Domestic","1982M09",3.75
"555","Protein Content (%)","Domestic","1982M09",3.41
"556","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M09",NA
"557","Fat Content (%)","Import","1982M09",NA
"558","Protein Content (%)","Import","1982M09",NA
"559","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M10",309.3
"560","Fat Content (%)","Domestic","1982M10",4.02
"561","Protein Content (%)","Domestic","1982M10",3.72
"562","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M10",NA
"563","Fat Content (%)","Import","1982M10",NA
"564","Protein Content (%)","Import","1982M10",NA
"565","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M11",164
"566","Fat Content (%)","Domestic","1982M11",4.12
"567","Protein Content (%)","Domestic","1982M11",4.04
"568","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M11",NA
"569","Fat Content (%)","Import","1982M11",NA
"570","Protein Content (%)","Import","1982M11",NA
"571","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1982M12",111.9
"572","Fat Content (%)","Domestic","1982M12",3.81
"573","Protein Content (%)","Domestic","1982M12",3.69
"574","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1982M12",NA
"575","Fat Content (%)","Import","1982M12",NA
"576","Protein Content (%)","Import","1982M12",NA
"577","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M01",137.9
"578","Fat Content (%)","Domestic","1983M01",3.61
"579","Protein Content (%)","Domestic","1983M01",3.3
"580","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M01",NA
"581","Fat Content (%)","Import","1983M01",NA
"582","Protein Content (%)","Import","1983M01",NA
"583","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M02",230.7
"584","Fat Content (%)","Domestic","1983M02",3.52
"585","Protein Content (%)","Domestic","1983M02",3.1
"586","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M02",NA
"587","Fat Content (%)","Import","1983M02",NA
"588","Protein Content (%)","Import","1983M02",NA
"589","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M03",422.1
"590","Fat Content (%)","Domestic","1983M03",3.4
"591","Protein Content (%)","Domestic","1983M03",2.93
"592","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M03",NA
"593","Fat Content (%)","Import","1983M03",NA
"594","Protein Content (%)","Import","1983M03",NA
"595","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M04",597.8
"596","Fat Content (%)","Domestic","1983M04",3.35
"597","Protein Content (%)","Domestic","1983M04",3.06
"598","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M04",NA
"599","Fat Content (%)","Import","1983M04",NA
"600","Protein Content (%)","Import","1983M04",NA
"601","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M05",749.6
"602","Fat Content (%)","Domestic","1983M05",3.34
"603","Protein Content (%)","Domestic","1983M05",3.21
"604","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M05",NA
"605","Fat Content (%)","Import","1983M05",NA
"606","Protein Content (%)","Import","1983M05",NA
"607","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M06",727.1
"608","Fat Content (%)","Domestic","1983M06",3.37
"609","Protein Content (%)","Domestic","1983M06",3.29
"610","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M06",NA
"611","Fat Content (%)","Import","1983M06",NA
"612","Protein Content (%)","Import","1983M06",NA
"613","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M07",664.2
"614","Fat Content (%)","Domestic","1983M07",3.4
"615","Protein Content (%)","Domestic","1983M07",3.2
"616","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M07",NA
"617","Fat Content (%)","Import","1983M07",NA
"618","Protein Content (%)","Import","1983M07",NA
"619","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M08",553.9
"620","Fat Content (%)","Domestic","1983M08",3.51
"621","Protein Content (%)","Domestic","1983M08",3.19
"622","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M08",NA
"623","Fat Content (%)","Import","1983M08",NA
"624","Protein Content (%)","Import","1983M08",NA
"625","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M09",457.1
"626","Fat Content (%)","Domestic","1983M09",3.79
"627","Protein Content (%)","Domestic","1983M09",3.55
"628","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M09",NA
"629","Fat Content (%)","Import","1983M09",NA
"630","Protein Content (%)","Import","1983M09",NA
"631","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M10",335.2
"632","Fat Content (%)","Domestic","1983M10",4.04
"633","Protein Content (%)","Domestic","1983M10",3.71
"634","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M10",NA
"635","Fat Content (%)","Import","1983M10",NA
"636","Protein Content (%)","Import","1983M10",NA
"637","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M11",182.9
"638","Fat Content (%)","Domestic","1983M11",4.13
"639","Protein Content (%)","Domestic","1983M11",3.94
"640","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M11",NA
"641","Fat Content (%)","Import","1983M11",NA
"642","Protein Content (%)","Import","1983M11",NA
"643","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1983M12",127.7
"644","Fat Content (%)","Domestic","1983M12",3.84
"645","Protein Content (%)","Domestic","1983M12",3.66
"646","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1983M12",NA
"647","Fat Content (%)","Import","1983M12",NA
"648","Protein Content (%)","Import","1983M12",NA
"649","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M01",158.2
"650","Fat Content (%)","Domestic","1984M01",3.66
"651","Protein Content (%)","Domestic","1984M01",3.32
"652","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M01",NA
"653","Fat Content (%)","Import","1984M01",NA
"654","Protein Content (%)","Import","1984M01",NA
"655","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M02",266.2
"656","Fat Content (%)","Domestic","1984M02",3.53
"657","Protein Content (%)","Domestic","1984M02",3.05
"658","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M02",NA
"659","Fat Content (%)","Import","1984M02",NA
"660","Protein Content (%)","Import","1984M02",NA
"661","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M03",458.5
"662","Fat Content (%)","Domestic","1984M03",3.39
"663","Protein Content (%)","Domestic","1984M03",2.89
"664","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M03",NA
"665","Fat Content (%)","Import","1984M03",NA
"666","Protein Content (%)","Import","1984M03",NA
"667","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M04",621
"668","Fat Content (%)","Domestic","1984M04",3.33
"669","Protein Content (%)","Domestic","1984M04",3.07
"670","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M04",NA
"671","Fat Content (%)","Import","1984M04",NA
"672","Protein Content (%)","Import","1984M04",NA
"673","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M05",814.3
"674","Fat Content (%)","Domestic","1984M05",3.3
"675","Protein Content (%)","Domestic","1984M05",3.27
"676","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Import","1984M05",NA
"677","Fat Content (%)","Import","1984M05",NA
"678","Protein Content (%)","Import","1984M05",NA
"679","Intake of Cows Milk by Creameries and Pasteurisers (Million Litres)","Domestic","1984M06",754.2
