"","Type.of.Milk","Month","value"
"628","Skimmed and Semi-skimmed milk","1990M06",NA
"629","Skimmed Milk","1990M06",0.4
"630","Semi-skimmed milk","1990M06",4
"631","All Milk","1990M07",41.9
"632","Whole Milk","1990M07",37.7
"633","Skimmed and Semi-skimmed milk","1990M07",NA
"634","Skimmed Milk","1990M07",0.4
"635","Semi-skimmed milk","1990M07",3.8
"636","All Milk","1990M08",42.3
"637","Whole Milk","1990M08",38.1
"638","Skimmed and Semi-skimmed milk","1990M08",NA
"639","Skimmed Milk","1990M08",0.4
"640","Semi-skimmed milk","1990M08",3.8
"641","All Milk","1990M09",43.6
"642","Whole Milk","1990M09",39
"643","Skimmed and Semi-skimmed milk","1990M09",NA
"644","Skimmed Milk","1990M09",0.4
"645","Semi-skimmed milk","1990M09",4.2
"646","All Milk","1990M10",42.1
"647","Whole Milk","1990M10",37.6
"648","Skimmed and Semi-skimmed milk","1990M10",NA
"649","Skimmed Milk","1990M10",0.4
"650","Semi-skimmed milk","1990M10",4.1
"651","All Milk","1990M11",40.6
"652","Whole Milk","1990M11",36.2
