"","Region","Year","Type.of.Land.Use","value"
"652","West","1988","Spring oats",3.6
"653","South-East (IRL)","1988","Spring oats",2.6
"654","South-West (IRL)","1988","Spring oats",1.9
"655","State","1989","Spring oats",12.3
"656","Midlands and East","1989","Spring oats",1.7
"657","North West","1989","Spring oats",2.7
"658","West","1989","Spring oats",3.6
"659","South-East (IRL)","1989","Spring oats",2.7
"660","South-West (IRL)","1989","Spring oats",1.7
"661","State","1990","Spring oats",11.2
"662","Midlands and East","1990","Spring oats",1.4
"663","North West","1990","Spring oats",1.9
"664","West","1990","Spring oats",3.3
"665","South-East (IRL)","1990","Spring oats",2.7
"666","South-West (IRL)","1990","Spring oats",1.9
"667","State","1991","Spring oats",9.2
"668","Midlands and East","1991","Spring oats",1.4
"669","North West","1991","Spring oats",1.2
"670","West","1991","Spring oats",1.9
"671","South-East (IRL)","1991","Spring oats",2.9
"672","South-West (IRL)","1991","Spring oats",1.7
"673","State","1992","Spring oats",8.4
"674","Midlands and East","1992","Spring oats",1.3
"675","North West","1992","Spring oats",1.2
"676","West","1992","Spring oats",1.7
"677","South-East (IRL)","1992","Spring oats",2.7
"678","South-West (IRL)","1992","Spring oats",1.5
"679","State","1993","Spring oats",8.8
"680","Midlands and East","1993","Spring oats",1.9
"681","North West","1993","Spring oats",1.1
"682","West","1993","Spring oats",1.5
"683","South-East (IRL)","1993","Spring oats",2.6
"684","South-West (IRL)","1993","Spring oats",1.8
"685","State","1994","Spring oats",7.6
"686","Midlands and East","1994","Spring oats",1.5
"687","North West","1994","Spring oats",1.2
"688","West","1994","Spring oats",1.2
"689","South-East (IRL)","1994","Spring oats",2.2
"690","South-West (IRL)","1994","Spring oats",1.4
"691","State","1995","Spring oats",9.4
"692","Midlands and East","1995","Spring oats",2
"693","North West","1995","Spring oats",1.1
"694","West","1995","Spring oats",1.3
"695","South-East (IRL)","1995","Spring oats",2.7
"696","South-West (IRL)","1995","Spring oats",2.2
"697","State","1996","Spring oats",8.4
"698","Midlands and East","1996","Spring oats",1.2
"699","North West","1996","Spring oats",1.1
"700","West","1996","Spring oats",1.4
"701","South-East (IRL)","1996","Spring oats",2.7
"702","South-West (IRL)","1996","Spring oats",2
"703","State","1997","Spring oats",9.4
"704","Midlands and East","1997","Spring oats",1.4
"705","North West","1997","Spring oats",1.4
"706","West","1997","Spring oats",1.3
"707","South-East (IRL)","1997","Spring oats",3.1
"708","South-West (IRL)","1997","Spring oats",2.1
"709","State","1998","Spring oats",7.3
"710","Midlands and East","1998","Spring oats",1.1
"711","North West","1998","Spring oats",1.2
"712","West","1998","Spring oats",0.9
"713","South-East (IRL)","1998","Spring oats",2.4
"714","South-West (IRL)","1998","Spring oats",1.8
"715","State","1999","Spring oats",12.5
"716","Midlands and East","1999","Spring oats",3.3
"717","North West","1999","Spring oats",1.6
"718","West","1999","Spring oats",1.2
"719","South-East (IRL)","1999","Spring oats",3.9
"720","South-West (IRL)","1999","Spring oats",2.5
"721","State","1980","Total barley",366.3
"722","Midlands and East","1980","Total barley",121.4
"723","North West","1980","Total barley",15.3
"724","West","1980","Total barley",12.2
"725","South-East (IRL)","1980","Total barley",146.3
"726","South-West (IRL)","1980","Total barley",71.1
"727","State","1981","Total barley",353.6
"728","Midlands and East","1981","Total barley",120.2
"729","North West","1981","Total barley",14.3
"730","West","1981","Total barley",11
"731","South-East (IRL)","1981","Total barley",140
"732","South-West (IRL)","1981","Total barley",68.1
"733","State","1982","Total barley",326.4
"734","Midlands and East","1982","Total barley",108.3
"735","North West","1982","Total barley",13.5
"736","West","1982","Total barley",10.1
"737","South-East (IRL)","1982","Total barley",130.9
"738","South-West (IRL)","1982","Total barley",63.6
"739","State","1983","Total barley",304.5
"740","Midlands and East","1983","Total barley",104.7
"741","North West","1983","Total barley",13.9
"742","West","1983","Total barley",10
"743","South-East (IRL)","1983","Total barley",120.1
"744","South-West (IRL)","1983","Total barley",55.7
"745","State","1984","Total barley",292.4
"746","Midlands and East","1984","Total barley",102.4
"747","North West","1984","Total barley",13.3
"748","West","1984","Total barley",9.8
"749","South-East (IRL)","1984","Total barley",114.4
"750","South-West (IRL)","1984","Total barley",52.5
"751","State","1985","Total barley",283.6
"752","Midlands and East","1985","Total barley",100.1
"753","North West","1985","Total barley",13.4
"754","West","1985","Total barley",9.9
"755","South-East (IRL)","1985","Total barley",108.7
"756","South-West (IRL)","1985","Total barley",51.5
"757","State","1986","Total barley",265
"758","Midlands and East","1986","Total barley",94.4
"759","North West","1986","Total barley",12.2
"760","West","1986","Total barley",9.5
"761","South-East (IRL)","1986","Total barley",101.4
"762","South-West (IRL)","1986","Total barley",47.5
"763","State","1987","Total barley",255.3
"764","Midlands and East","1987","Total barley",90.6
"765","North West","1987","Total barley",10.6
"766","West","1987","Total barley",9
"767","South-East (IRL)","1987","Total barley",99
"768","South-West (IRL)","1987","Total barley",45.9
"769","State","1988","Total barley",242.5
"770","Midlands and East","1988","Total barley",85.3
"771","North West","1988","Total barley",10.1
"772","West","1988","Total barley",8.1
"773","South-East (IRL)","1988","Total barley",95
"774","South-West (IRL)","1988","Total barley",43.9
"775","State","1989","Total barley",236.5
"776","Midlands and East","1989","Total barley",80.3
"777","North West","1989","Total barley",10.3
"778","West","1989","Total barley",5.8
"779","South-East (IRL)","1989","Total barley",96.2
"780","South-West (IRL)","1989","Total barley",43.9
"781","State","1990","Total barley",206.6
"782","Midlands and East","1990","Total barley",68.4
"783","North West","1990","Total barley",9.1
"784","West","1990","Total barley",5.2
"785","South-East (IRL)","1990","Total barley",85.5
"786","South-West (IRL)","1990","Total barley",38.5
"787","State","1991","Total barley",193.4
"788","Midlands and East","1991","Total barley",63.3
"789","North West","1991","Total barley",7
"790","West","1991","Total barley",5
"791","South-East (IRL)","1991","Total barley",82.9
"792","South-West (IRL)","1991","Total barley",35.2
"793","State","1992","Total barley",184.4
"794","Midlands and East","1992","Total barley",61.1
"795","North West","1992","Total barley",6.8
"796","West","1992","Total barley",4.5
"797","South-East (IRL)","1992","Total barley",78.7
"798","South-West (IRL)","1992","Total barley",33.3
"799","State","1993","Total barley",180.8
"800","Midlands and East","1993","Total barley",57.5
"801","North West","1993","Total barley",6.5
"802","West","1993","Total barley",4.3
"803","South-East (IRL)","1993","Total barley",79.4
"804","South-West (IRL)","1993","Total barley",33.1
"805","State","1994","Total barley",169.7
"806","Midlands and East","1994","Total barley",54.4
"807","North West","1994","Total barley",6.8
"808","West","1994","Total barley",3.2
"809","South-East (IRL)","1994","Total barley",74.9
"810","South-West (IRL)","1994","Total barley",30.3
"811","State","1995","Total barley",178.6
"812","Midlands and East","1995","Total barley",59.8
"813","North West","1995","Total barley",6
"814","West","1995","Total barley",3.9
"815","South-East (IRL)","1995","Total barley",78.1
"816","South-West (IRL)","1995","Total barley",30.8
"817","State","1996","Total barley",181.4
"818","Midlands and East","1996","Total barley",58.3
"819","North West","1996","Total barley",6.3
"820","West","1996","Total barley",4.8
"821","South-East (IRL)","1996","Total barley",80.1
"822","South-West (IRL)","1996","Total barley",31.9
"823","State","1997","Total barley",189.8
"824","Midlands and East","1997","Total barley",63.7
"825","North West","1997","Total barley",6.8
"826","West","1997","Total barley",5
"827","South-East (IRL)","1997","Total barley",80.1
"828","South-West (IRL)","1997","Total barley",34.2
"829","State","1998","Total barley",190.7
"830","Midlands and East","1998","Total barley",61.6
"831","North West","1998","Total barley",5.9
"832","West","1998","Total barley",5
"833","South-East (IRL)","1998","Total barley",83.3
"834","South-West (IRL)","1998","Total barley",34.9
"835","State","1999","Total barley",192
"836","Midlands and East","1999","Total barley",66.7
"837","North West","1999","Total barley",6.5
"838","West","1999","Total barley",4.9
"839","South-East (IRL)","1999","Total barley",81.1
"840","South-West (IRL)","1999","Total barley",33
"841","State","1980","Winter barley",26
"842","Midlands and East","1980","Winter barley",15
"843","North West","1980","Winter barley",0.6
"844","West","1980","Winter barley",0.7
"845","South-East (IRL)","1980","Winter barley",7.5
"846","South-West (IRL)","1980","Winter barley",2.2
"847","State","1981","Winter barley",29.1
"848","Midlands and East","1981","Winter barley",15
"849","North West","1981","Winter barley",0.7
"850","West","1981","Winter barley",0.6
"851","South-East (IRL)","1981","Winter barley",9.6
"852","South-West (IRL)","1981","Winter barley",3.2
"853","State","1982","Winter barley",34.2
"854","Midlands and East","1982","Winter barley",19.2
"855","North West","1982","Winter barley",0.8
"856","West","1982","Winter barley",0.7
"857","South-East (IRL)","1982","Winter barley",10.5
"858","South-West (IRL)","1982","Winter barley",3
"859","State","1983","Winter barley",32.4
"860","Midlands and East","1983","Winter barley",18.4
"861","North West","1983","Winter barley",1.2
"862","West","1983","Winter barley",0.9
"863","South-East (IRL)","1983","Winter barley",9
"864","South-West (IRL)","1983","Winter barley",3
"865","State","1984","Winter barley",34.1
"866","Midlands and East","1984","Winter barley",19.6
"867","North West","1984","Winter barley",1.4
"868","West","1984","Winter barley",1
"869","South-East (IRL)","1984","Winter barley",9.2
"870","South-West (IRL)","1984","Winter barley",2.9
"871","State","1985","Winter barley",35.5
"872","Midlands and East","1985","Winter barley",20.3
"873","North West","1985","Winter barley",1.4
"874","West","1985","Winter barley",1
"875","South-East (IRL)","1985","Winter barley",9.6
"876","South-West (IRL)","1985","Winter barley",3.1
"877","State","1986","Winter barley",33.9
"878","Midlands and East","1986","Winter barley",19.2
"879","North West","1986","Winter barley",1.2
"880","West","1986","Winter barley",1
"881","South-East (IRL)","1986","Winter barley",9.2
"882","South-West (IRL)","1986","Winter barley",3.2
"883","State","1987","Winter barley",33.6
"884","Midlands and East","1987","Winter barley",20
"885","North West","1987","Winter barley",1
"886","West","1987","Winter barley",1
"887","South-East (IRL)","1987","Winter barley",8.5
"888","South-West (IRL)","1987","Winter barley",3.1
"889","State","1988","Winter barley",28
"890","Midlands and East","1988","Winter barley",16.4
"891","North West","1988","Winter barley",1
"892","West","1988","Winter barley",0.7
"893","South-East (IRL)","1988","Winter barley",7.2
"894","South-West (IRL)","1988","Winter barley",2.7
"895","State","1989","Winter barley",24.9
"896","Midlands and East","1989","Winter barley",14
"897","North West","1989","Winter barley",0.9
"898","West","1989","Winter barley",0.5
"899","South-East (IRL)","1989","Winter barley",6.8
"900","South-West (IRL)","1989","Winter barley",2.8
"901","State","1990","Winter barley",28.7
"902","Midlands and East","1990","Winter barley",15.7
"903","North West","1990","Winter barley",0.9
"904","West","1990","Winter barley",0.6
"905","South-East (IRL)","1990","Winter barley",7.9
"906","South-West (IRL)","1990","Winter barley",3.6
"907","State","1991","Winter barley",33.3
"908","Midlands and East","1991","Winter barley",16.9
"909","North West","1991","Winter barley",0.6
"910","West","1991","Winter barley",0.4
"911","South-East (IRL)","1991","Winter barley",10.1
"912","South-West (IRL)","1991","Winter barley",5.4
"913","State","1992","Winter barley",40.3
"914","Midlands and East","1992","Winter barley",20.3
"915","North West","1992","Winter barley",0.6
"916","West","1992","Winter barley",0.4
"917","South-East (IRL)","1992","Winter barley",12.4
"918","South-West (IRL)","1992","Winter barley",6.7
"919","State","1993","Winter barley",39.4
"920","Midlands and East","1993","Winter barley",19.9
"921","North West","1993","Winter barley",0.5
"922","West","1993","Winter barley",0.3
"923","South-East (IRL)","1993","Winter barley",12.7
"924","South-West (IRL)","1993","Winter barley",6
"925","State","1994","Winter barley",31.7
"926","Midlands and East","1994","Winter barley",15.5
"927","North West","1994","Winter barley",0.8
"928","West","1994","Winter barley",0.3
"929","South-East (IRL)","1994","Winter barley",9.9
"930","South-West (IRL)","1994","Winter barley",5.3
"931","State","1995","Winter barley",37.1
"932","Midlands and East","1995","Winter barley",19
"933","North West","1995","Winter barley",0.6
"934","West","1995","Winter barley",0.4
"935","South-East (IRL)","1995","Winter barley",12
"936","South-West (IRL)","1995","Winter barley",5.2
"937","State","1996","Winter barley",40.9
"938","Midlands and East","1996","Winter barley",21.9
"939","North West","1996","Winter barley",0.7
"940","West","1996","Winter barley",0.5
"941","South-East (IRL)","1996","Winter barley",13.1
"942","South-West (IRL)","1996","Winter barley",4.7
"943","State","1997","Winter barley",41.1
"944","Midlands and East","1997","Winter barley",23.3
"945","North West","1997","Winter barley",0.7
"946","West","1997","Winter barley",0.3
"947","South-East (IRL)","1997","Winter barley",10.9
"948","South-West (IRL)","1997","Winter barley",5.9
"949","State","1998","Winter barley",39
"950","Midlands and East","1998","Winter barley",22.2
"951","North West","1998","Winter barley",0.6
"952","West","1998","Winter barley",0.4
"953","South-East (IRL)","1998","Winter barley",10.1
"954","South-West (IRL)","1998","Winter barley",5.7
"955","State","1999","Winter barley",26.2
"956","Midlands and East","1999","Winter barley",13.6
"957","North West","1999","Winter barley",0.6
"958","West","1999","Winter barley",0.3
"959","South-East (IRL)","1999","Winter barley",7.3
"960","South-West (IRL)","1999","Winter barley",4.6
"961","State","1980","Spring barley",340.3
"962","Midlands and East","1980","Spring barley",106.4
"963","North West","1980","Spring barley",14.6
"964","West","1980","Spring barley",11.5
"965","South-East (IRL)","1980","Spring barley",138.8
"966","South-West (IRL)","1980","Spring barley",69
"967","State","1981","Spring barley",324.6
"968","Midlands and East","1981","Spring barley",105.3
"969","North West","1981","Spring barley",13.5
"970","West","1981","Spring barley",10.4
"971","South-East (IRL)","1981","Spring barley",130.4
"972","South-West (IRL)","1981","Spring barley",65
"973","State","1982","Spring barley",292.2
"974","Midlands and East","1982","Spring barley",89
"975","North West","1982","Spring barley",12.8
"976","West","1982","Spring barley",9.3
"977","South-East (IRL)","1982","Spring barley",120.5
"978","South-West (IRL)","1982","Spring barley",60.6
"979","State","1983","Spring barley",272.1
