"","Statistic","Year","Type.of.Crop","value"
"381","Crop Yield (000 Tonnes)","1996","Spring oats",51.1
"382","Area under Crops (000 Hectares)","1997","Spring oats",9.4
"383","Crop Yield per Hectare (Tonnes)","1997","Spring oats",5.2
"384","Crop Yield (000 Tonnes)","1997","Spring oats",48.2
"385","Area under Crops (000 Hectares)","1998","Spring oats",7.3
"386","Crop Yield per Hectare (Tonnes)","1998","Spring oats",5.3
"387","Crop Yield (000 Tonnes)","1998","Spring oats",38.9
"388","Area under Crops (000 Hectares)","1999","Spring oats",12.5
"389","Crop Yield per Hectare (Tonnes)","1999","Spring oats",6.1
"390","Crop Yield (000 Tonnes)","1999","Spring oats",76.2
"391","Area under Crops (000 Hectares)","2000","Spring oats",7.2
"392","Crop Yield per Hectare (Tonnes)","2000","Spring oats",6.5
"393","Crop Yield (000 Tonnes)","2000","Spring oats",46.8
"394","Area under Crops (000 Hectares)","2001","Spring oats",11.1
"395","Crop Yield per Hectare (Tonnes)","2001","Spring oats",6.6
"396","Crop Yield (000 Tonnes)","2001","Spring oats",73.4
"397","Area under Crops (000 Hectares)","2002","Spring oats",7
"398","Crop Yield per Hectare (Tonnes)","2002","Spring oats",5.9
"399","Crop Yield (000 Tonnes)","2002","Spring oats",41.5
"400","Area under Crops (000 Hectares)","2003","Spring oats",11.6
"401","Crop Yield per Hectare (Tonnes)","2003","Spring oats",6.8
"402","Crop Yield (000 Tonnes)","2003","Spring oats",79.2
"403","Area under Crops (000 Hectares)","2004","Spring oats",7
"404","Crop Yield per Hectare (Tonnes)","2004","Spring oats",6.8
"405","Crop Yield (000 Tonnes)","2004","Spring oats",47.9
"406","Area under Crops (000 Hectares)","2005","Spring oats",8.2
"407","Crop Yield per Hectare (Tonnes)","2005","Spring oats",6.1
"408","Crop Yield (000 Tonnes)","2005","Spring oats",49.8
"409","Area under Crops (000 Hectares)","2006","Spring oats",11.1
"410","Crop Yield per Hectare (Tonnes)","2006","Spring oats",6.4
"411","Crop Yield (000 Tonnes)","2006","Spring oats",71
"412","Area under Crops (000 Hectares)","2007","Spring oats",7.8
"413","Crop Yield per Hectare (Tonnes)","2007","Spring oats",6.4
"414","Crop Yield (000 Tonnes)","2007","Spring oats",49.8
"415","Area under Crops (000 Hectares)","1985","Total barley",283.6
"416","Crop Yield per Hectare (Tonnes)","1985","Total barley",4.8
"417","Crop Yield (000 Tonnes)","1985","Total barley",1365
"418","Area under Crops (000 Hectares)","1986","Total barley",265
"419","Crop Yield per Hectare (Tonnes)","1986","Total barley",5.1
"420","Crop Yield (000 Tonnes)","1986","Total barley",1344
"421","Area under Crops (000 Hectares)","1987","Total barley",255.3
"422","Crop Yield per Hectare (Tonnes)","1987","Total barley",5.8
"423","Crop Yield (000 Tonnes)","1987","Total barley",1485
"424","Area under Crops (000 Hectares)","1988","Total barley",242.5
"425","Crop Yield per Hectare (Tonnes)","1988","Total barley",6.1
"426","Crop Yield (000 Tonnes)","1988","Total barley",1475
"427","Area under Crops (000 Hectares)","1989","Total barley",236.5
"428","Crop Yield per Hectare (Tonnes)","1989","Total barley",5.6
"429","Crop Yield (000 Tonnes)","1989","Total barley",1325
