"","Statistic","Agricultural.Product","Month","value"
"211","Agricultural Input and Output Price Indices (Base 2005=100)","Motor fuel","2000M03",71.954
"212","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Motor fuel","2000M03",NA
"213","Agricultural Input and Output Price Indices (Base 2005=100)","Lubricants","2000M03",84.059
"214","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Lubricants","2000M03",NA
"215","Agricultural Input and Output Price Indices (Base 2005=100)","Fertilisers","2000M03",78.026
"216","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Fertilisers","2000M03",NA
"217","Agricultural Input and Output Price Indices (Base 2005=100)","Straight fertilisers","2000M03",71.72
"218","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight fertilisers","2000M03",NA
"219","Agricultural Input and Output Price Indices (Base 2005=100)","Compound fertilisers","2000M03",81.188
"220","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound fertilisers","2000M03",NA
"221","Agricultural Input and Output Price Indices (Base 2005=100)","PK fertilisers","2000M03",89.008
"222","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","PK fertilisers","2000M03",NA
"223","Agricultural Input and Output Price Indices (Base 2005=100)","NPK fertilisers","2000M03",80.683
"224","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","NPK fertilisers","2000M03",NA
"225","Agricultural Input and Output Price Indices (Base 2005=100)","Other fertilisers","2000M03",90.002
"226","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other fertilisers","2000M03",NA
"227","Agricultural Input and Output Price Indices (Base 2005=100)","Plant protection products","2000M03",97.633
"228","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Plant protection products","2000M03",NA
"229","Agricultural Input and Output Price Indices (Base 2005=100)","Veterinary expenses","2000M03",84.47
"230","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Veterinary expenses","2000M03",NA
"231","Agricultural Input and Output Price Indices (Base 2005=100)","Feeding stuffs","2000M03",90.77
"232","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Feeding stuffs","2000M03",NA
"233","Agricultural Input and Output Price Indices (Base 2005=100)","Straight feeding stuffs","2000M03",88.823
"234","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Straight feeding stuffs","2000M03",NA
"235","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs","2000M03",90.987
"236","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs","2000M03",NA
"237","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for calves","2000M03",92.81
"238","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for calves","2000M03",NA
"239","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2000M03",90.997
"240","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for cattle excluding calves","2000M03",NA
"241","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for pigs","2000M03",90.473
"242","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for pigs","2000M03",NA
"243","Agricultural Input and Output Price Indices (Base 2005=100)","Compound feeding stuffs for poultry","2000M03",91.109
"244","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Compound feeding stuffs for poultry","2000M03",NA
"245","Agricultural Input and Output Price Indices (Base 2005=100)","Other compound feeding stuffs","2000M03",90.987
"246","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other compound feeding stuffs","2000M03",NA
"247","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of materials","2000M03",75.987
"248","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of materials","2000M03",NA
"249","Agricultural Input and Output Price Indices (Base 2005=100)","Maintenance of buildings","2000M03",76.935
"250","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Maintenance of buildings","2000M03",NA
"251","Agricultural Input and Output Price Indices (Base 2005=100)","Other goods and services including artificial insemination","2000M03",91.218
"252","Agricultural Input and Output Price Indices (Seasonally Adjusted) (Base 2005=100)","Other goods and services including artificial insemination","2000M03",NA
"253","Agricultural Input and Output Price Indices (Base 2005=100)","Agricultural output price index","2000M04",96.818
