"","Statistic","Year","Type.of.Animal","value"
"360","Weight of Animals Slaughtered (000 Tonnes)","1998","Pigs",241.6
"361","Number of Animals Slaughtered (000 Head)","1999","Pigs",3487.7
"362","Weight of Animals Slaughtered (000 Tonnes)","1999","Pigs",249.7
"363","Number of Animals Slaughtered (000 Head)","2000","Pigs",3151.1
"364","Weight of Animals Slaughtered (000 Tonnes)","2000","Pigs",230.1
"365","Number of Animals Slaughtered (000 Head)","2001","Pigs",3254.7
"366","Weight of Animals Slaughtered (000 Tonnes)","2001","Pigs",239.7
"367","Number of Animals Slaughtered (000 Head)","2002","Pigs",3109.4
"368","Weight of Animals Slaughtered (000 Tonnes)","2002","Pigs",229.8
"369","Number of Animals Slaughtered (000 Head)","1980","Sheep",1775.3
"370","Weight of Animals Slaughtered (000 Tonnes)","1980","Sheep",NA
"371","Number of Animals Slaughtered (000 Head)","1981","Sheep",1811
"372","Weight of Animals Slaughtered (000 Tonnes)","1981","Sheep",NA
"373","Number of Animals Slaughtered (000 Head)","1982","Sheep",1692.6
"374","Weight of Animals Slaughtered (000 Tonnes)","1982","Sheep",NA
