"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"241","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M07","Cattle without Calves",101.2
"242","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M07","Cattle without Calves",28.7
"243","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M07","Cattle without Calves",5.2
"244","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M07","Cattle without Calves",1.7
"245","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M07","Cattle without Calves",5.2
"246","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M07","Cattle without Calves",1.7
"247","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M07","Cattle without Calves",25.4
"248","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M07","Cattle without Calves",7.1
"249","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M08","Cattle without Calves",122.6
"250","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M08","Cattle without Calves",35.7
"251","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M08","Cattle without Calves",4.1
"252","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M08","Cattle without Calves",1.3
"253","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M08","Cattle without Calves",4.1
"254","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M08","Cattle without Calves",1.3
"255","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M08","Cattle without Calves",24.7
"256","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M08","Cattle without Calves",6.9
"257","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M09","Cattle without Calves",143.7
"258","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M09","Cattle without Calves",42
"259","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M09","Cattle without Calves",4.1
"260","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M09","Cattle without Calves",1.2
"261","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M09","Cattle without Calves",4.1
"262","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M09","Cattle without Calves",1.2
"263","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M09","Cattle without Calves",28
"264","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M09","Cattle without Calves",7.9
"265","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M10","Cattle without Calves",162.8
"266","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M10","Cattle without Calves",47.9
"267","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M10","Cattle without Calves",4.4
"268","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M10","Cattle without Calves",1.3
"269","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M10","Cattle without Calves",4.4
"270","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M10","Cattle without Calves",1.3
"271","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M10","Cattle without Calves",30.4
"272","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M10","Cattle without Calves",8.3
"273","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M11","Cattle without Calves",157.4
"274","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M11","Cattle without Calves",44.5
"275","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M11","Cattle without Calves",4.2
"276","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M11","Cattle without Calves",1.1
"277","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M11","Cattle without Calves",4.1
"278","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M11","Cattle without Calves",1.1
"279","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M11","Cattle without Calves",34.7
"280","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M11","Cattle without Calves",9.1
"281","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M12","Cattle without Calves",91
"282","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M12","Cattle without Calves",24.4
"283","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M12","Cattle without Calves",1.4
"284","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M12","Cattle without Calves",0.4
"285","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M12","Cattle without Calves",1.4
"286","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M12","Cattle without Calves",0.4
"287","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M12","Cattle without Calves",29
"288","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M12","Cattle without Calves",8.1
"289","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M01","Cattle without Calves",81.5
"290","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M01","Cattle without Calves",22.5
"291","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M01","Cattle without Calves",1.4
"292","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M01","Cattle without Calves",0.4
"293","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M01","Cattle without Calves",1.4
"294","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M01","Cattle without Calves",0.4
"295","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M01","Cattle without Calves",21
"296","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M01","Cattle without Calves",5.6
"297","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M02","Cattle without Calves",77.3
"298","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M02","Cattle without Calves",21.7
"299","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M02","Cattle without Calves",0.9
"300","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M02","Cattle without Calves",0.2
"301","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M02","Cattle without Calves",0.9
"302","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M02","Cattle without Calves",0.2
"303","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M02","Cattle without Calves",31.2
"304","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M02","Cattle without Calves",8.4
"305","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M03","Cattle without Calves",85.1
"306","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M03","Cattle without Calves",23.5
"307","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M03","Cattle without Calves",0.9
"308","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M03","Cattle without Calves",0.2
"309","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M03","Cattle without Calves",0.9
"310","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M03","Cattle without Calves",0.2
"311","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M03","Cattle without Calves",41.2
"312","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M03","Cattle without Calves",10.7
"313","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M04","Cattle without Calves",68.7
"314","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M04","Cattle without Calves",18.6
"315","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M04","Cattle without Calves",0.7
"316","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M04","Cattle without Calves",0.2
"317","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M04","Cattle without Calves",0.7
"318","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M04","Cattle without Calves",0.2
"319","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M04","Cattle without Calves",45.5
"320","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M04","Cattle without Calves",12.1
"321","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M05","Cattle without Calves",76
"322","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M05","Cattle without Calves",20.8
"323","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M05","Cattle without Calves",1.1
"324","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M05","Cattle without Calves",0.3
"325","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M05","Cattle without Calves",1.1
"326","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M05","Cattle without Calves",0.3
"327","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M05","Cattle without Calves",25.5
"328","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M05","Cattle without Calves",7
"329","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M06","Cattle without Calves",90.2
"330","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M06","Cattle without Calves",25.2
"331","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M06","Cattle without Calves",1
"332","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M06","Cattle without Calves",0.3
"333","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M06","Cattle without Calves",1
"334","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M06","Cattle without Calves",0.3
"335","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M06","Cattle without Calves",31.6
"336","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M06","Cattle without Calves",8.3
"337","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M07","Cattle without Calves",99.9
"338","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M07","Cattle without Calves",28.2
"339","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M07","Cattle without Calves",0.7
"340","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M07","Cattle without Calves",0.2
"341","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M07","Cattle without Calves",0.7
"342","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M07","Cattle without Calves",0.2
"343","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M07","Cattle without Calves",32.6
"344","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M07","Cattle without Calves",8.7
"345","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M08","Cattle without Calves",114
"346","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M08","Cattle without Calves",32.3
"347","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M08","Cattle without Calves",1.9
"348","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M08","Cattle without Calves",0.5
"349","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M08","Cattle without Calves",1.9
"350","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M08","Cattle without Calves",0.5
"351","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1983M08","Cattle without Calves",39.8
"352","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1983M08","Cattle without Calves",11.5
"353","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1983M09","Cattle without Calves",137.8
"354","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1983M09","Cattle without Calves",39.8
"355","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1983M09","Cattle without Calves",2.7
"356","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1983M09","Cattle without Calves",0.7
"357","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1983M09","Cattle without Calves",2.7
"358","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1983M09","Cattle without Calves",0.7
