"","Statistic","Meat.Characteristic","Month","Type.of.Animal","value"
"186","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1981M12","Cattle without Calves",23
"187","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1981M12","Cattle without Calves",4.6
"188","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1981M12","Cattle without Calves",1.2
"189","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1981M12","Cattle without Calves",4.6
"190","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1981M12","Cattle without Calves",1.2
"191","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1981M12","Cattle without Calves",37
"192","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1981M12","Cattle without Calves",9.6
"193","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M01","Cattle without Calves",70.1
"194","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M01","Cattle without Calves",18.6
"195","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M01","Cattle without Calves",4.6
"196","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M01","Cattle without Calves",1.3
"197","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M01","Cattle without Calves",4.6
"198","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M01","Cattle without Calves",1.3
"199","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M01","Cattle without Calves",29.3
"200","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M01","Cattle without Calves",8
"201","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M02","Cattle without Calves",70.5
"202","Weight of Livestock Slaughtered (000 Tonnes)","Animals Slaughtered in the State","1982M02","Cattle without Calves",18.8
"203","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered","1982M02","Cattle without Calves",4.4
"204","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered","1982M02","Cattle without Calves",1.3
"205","Number of Livestock Slaughtered (000 Head)","Imports of Animals Slaughtered from EU","1982M02","Cattle without Calves",4.4
"206","Weight of Livestock Slaughtered (000 Tonnes)","Imports of Animals Slaughtered from EU","1982M02","Cattle without Calves",1.3
"207","Number of Livestock Slaughtered (000 Head)","Exports of Animals Slaughtered","1982M02","Cattle without Calves",37.9
"208","Weight of Livestock Slaughtered (000 Tonnes)","Exports of Animals Slaughtered","1982M02","Cattle without Calves",9.7
"209","Number of Livestock Slaughtered (000 Head)","Animals Slaughtered in the State","1982M03","Cattle without Calves",80.7
