"","Statistic","Month","Type.of.Animal","value"
"917","Number of Livestock Slaughtered (000 Head)","2013M03","Cattle without Calves",116.38
"918","Weight of Livestock Slaughtered (000 Tonnes)","2013M03","Cattle without Calves",38.16
"919","Number of Livestock Slaughtered (000 Head)","2013M04","Cattle without Calves",127.45
"920","Weight of Livestock Slaughtered (000 Tonnes)","2013M04","Cattle without Calves",40.94
"921","Number of Livestock Slaughtered (000 Head)","2013M05","Cattle without Calves",130.74
"922","Weight of Livestock Slaughtered (000 Tonnes)","2013M05","Cattle without Calves",41.62
"923","Number of Livestock Slaughtered (000 Head)","2013M06","Cattle without Calves",113.58
"924","Weight of Livestock Slaughtered (000 Tonnes)","2013M06","Cattle without Calves",36.41
"925","Number of Livestock Slaughtered (000 Head)","2013M07","Cattle without Calves",135.92
"926","Weight of Livestock Slaughtered (000 Tonnes)","2013M07","Cattle without Calves",43.7
"927","Number of Livestock Slaughtered (000 Head)","2013M08","Cattle without Calves",123.76
"928","Weight of Livestock Slaughtered (000 Tonnes)","2013M08","Cattle without Calves",39.88
"929","Number of Livestock Slaughtered (000 Head)","2013M09","Cattle without Calves",144.56
"930","Weight of Livestock Slaughtered (000 Tonnes)","2013M09","Cattle without Calves",47.74
"931","Number of Livestock Slaughtered (000 Head)","2013M10","Cattle without Calves",157.04
"932","Weight of Livestock Slaughtered (000 Tonnes)","2013M10","Cattle without Calves",51.5
"933","Number of Livestock Slaughtered (000 Head)","2013M11","Cattle without Calves",144.77
"934","Weight of Livestock Slaughtered (000 Tonnes)","2013M11","Cattle without Calves",47.26
"935","Number of Livestock Slaughtered (000 Head)","2013M12","Cattle without Calves",124.23
"936","Weight of Livestock Slaughtered (000 Tonnes)","2013M12","Cattle without Calves",41.03
"937","Number of Livestock Slaughtered (000 Head)","2014M01","Cattle without Calves",147.12
"938","Weight of Livestock Slaughtered (000 Tonnes)","2014M01","Cattle without Calves",49.31
"939","Number of Livestock Slaughtered (000 Head)","2014M02","Cattle without Calves",134.58
"940","Weight of Livestock Slaughtered (000 Tonnes)","2014M02","Cattle without Calves",45.17
"941","Number of Livestock Slaughtered (000 Head)","2014M03","Cattle without Calves",144.07
"942","Weight of Livestock Slaughtered (000 Tonnes)","2014M03","Cattle without Calves",48.24
"943","Number of Livestock Slaughtered (000 Head)","2014M04","Cattle without Calves",147.38
"944","Weight of Livestock Slaughtered (000 Tonnes)","2014M04","Cattle without Calves",49.16
"945","Number of Livestock Slaughtered (000 Head)","2014M05","Cattle without Calves",146.15
"946","Weight of Livestock Slaughtered (000 Tonnes)","2014M05","Cattle without Calves",48.78
"947","Number of Livestock Slaughtered (000 Head)","1975M01","Bullocks",NA
"948","Weight of Livestock Slaughtered (000 Tonnes)","1975M01","Bullocks",NA
"949","Number of Livestock Slaughtered (000 Head)","1975M02","Bullocks",NA
"950","Weight of Livestock Slaughtered (000 Tonnes)","1975M02","Bullocks",NA
"951","Number of Livestock Slaughtered (000 Head)","1975M03","Bullocks",NA
"952","Weight of Livestock Slaughtered (000 Tonnes)","1975M03","Bullocks",NA
"953","Number of Livestock Slaughtered (000 Head)","1975M04","Bullocks",NA
"954","Weight of Livestock Slaughtered (000 Tonnes)","1975M04","Bullocks",NA
"955","Number of Livestock Slaughtered (000 Head)","1975M05","Bullocks",NA
"956","Weight of Livestock Slaughtered (000 Tonnes)","1975M05","Bullocks",NA
"957","Number of Livestock Slaughtered (000 Head)","1975M06","Bullocks",NA
"958","Weight of Livestock Slaughtered (000 Tonnes)","1975M06","Bullocks",NA
"959","Number of Livestock Slaughtered (000 Head)","1975M07","Bullocks",NA
"960","Weight of Livestock Slaughtered (000 Tonnes)","1975M07","Bullocks",NA
"961","Number of Livestock Slaughtered (000 Head)","1975M08","Bullocks",NA
"962","Weight of Livestock Slaughtered (000 Tonnes)","1975M08","Bullocks",NA
"963","Number of Livestock Slaughtered (000 Head)","1975M09","Bullocks",NA
"964","Weight of Livestock Slaughtered (000 Tonnes)","1975M09","Bullocks",NA
"965","Number of Livestock Slaughtered (000 Head)","1975M10","Bullocks",NA
"966","Weight of Livestock Slaughtered (000 Tonnes)","1975M10","Bullocks",NA
"967","Number of Livestock Slaughtered (000 Head)","1975M11","Bullocks",NA
"968","Weight of Livestock Slaughtered (000 Tonnes)","1975M11","Bullocks",NA
"969","Number of Livestock Slaughtered (000 Head)","1975M12","Bullocks",NA
"970","Weight of Livestock Slaughtered (000 Tonnes)","1975M12","Bullocks",NA
"971","Number of Livestock Slaughtered (000 Head)","1976M01","Bullocks",NA
"972","Weight of Livestock Slaughtered (000 Tonnes)","1976M01","Bullocks",NA
"973","Number of Livestock Slaughtered (000 Head)","1976M02","Bullocks",NA
"974","Weight of Livestock Slaughtered (000 Tonnes)","1976M02","Bullocks",NA
"975","Number of Livestock Slaughtered (000 Head)","1976M03","Bullocks",NA
"976","Weight of Livestock Slaughtered (000 Tonnes)","1976M03","Bullocks",NA
"977","Number of Livestock Slaughtered (000 Head)","1976M04","Bullocks",NA
"978","Weight of Livestock Slaughtered (000 Tonnes)","1976M04","Bullocks",NA
"979","Number of Livestock Slaughtered (000 Head)","1976M05","Bullocks",NA
"980","Weight of Livestock Slaughtered (000 Tonnes)","1976M05","Bullocks",NA
"981","Number of Livestock Slaughtered (000 Head)","1976M06","Bullocks",NA
"982","Weight of Livestock Slaughtered (000 Tonnes)","1976M06","Bullocks",NA
"983","Number of Livestock Slaughtered (000 Head)","1976M07","Bullocks",NA
"984","Weight of Livestock Slaughtered (000 Tonnes)","1976M07","Bullocks",NA
"985","Number of Livestock Slaughtered (000 Head)","1976M08","Bullocks",NA
"986","Weight of Livestock Slaughtered (000 Tonnes)","1976M08","Bullocks",NA
"987","Number of Livestock Slaughtered (000 Head)","1976M09","Bullocks",NA
"988","Weight of Livestock Slaughtered (000 Tonnes)","1976M09","Bullocks",NA
"989","Number of Livestock Slaughtered (000 Head)","1976M10","Bullocks",NA
"990","Weight of Livestock Slaughtered (000 Tonnes)","1976M10","Bullocks",NA
"991","Number of Livestock Slaughtered (000 Head)","1976M11","Bullocks",NA
"992","Weight of Livestock Slaughtered (000 Tonnes)","1976M11","Bullocks",NA
"993","Number of Livestock Slaughtered (000 Head)","1976M12","Bullocks",NA
"994","Weight of Livestock Slaughtered (000 Tonnes)","1976M12","Bullocks",NA
"995","Number of Livestock Slaughtered (000 Head)","1977M01","Bullocks",NA
"996","Weight of Livestock Slaughtered (000 Tonnes)","1977M01","Bullocks",NA
"997","Number of Livestock Slaughtered (000 Head)","1977M02","Bullocks",NA
"998","Weight of Livestock Slaughtered (000 Tonnes)","1977M02","Bullocks",NA
"999","Number of Livestock Slaughtered (000 Head)","1977M03","Bullocks",NA
"1000","Weight of Livestock Slaughtered (000 Tonnes)","1977M03","Bullocks",NA
"1001","Number of Livestock Slaughtered (000 Head)","1977M04","Bullocks",NA
"1002","Weight of Livestock Slaughtered (000 Tonnes)","1977M04","Bullocks",NA
"1003","Number of Livestock Slaughtered (000 Head)","1977M05","Bullocks",NA
"1004","Weight of Livestock Slaughtered (000 Tonnes)","1977M05","Bullocks",NA
"1005","Number of Livestock Slaughtered (000 Head)","1977M06","Bullocks",NA
"1006","Weight of Livestock Slaughtered (000 Tonnes)","1977M06","Bullocks",NA
"1007","Number of Livestock Slaughtered (000 Head)","1977M07","Bullocks",NA
"1008","Weight of Livestock Slaughtered (000 Tonnes)","1977M07","Bullocks",NA
"1009","Number of Livestock Slaughtered (000 Head)","1977M08","Bullocks",NA
"1010","Weight of Livestock Slaughtered (000 Tonnes)","1977M08","Bullocks",NA
"1011","Number of Livestock Slaughtered (000 Head)","1977M09","Bullocks",NA
"1012","Weight of Livestock Slaughtered (000 Tonnes)","1977M09","Bullocks",NA
"1013","Number of Livestock Slaughtered (000 Head)","1977M10","Bullocks",NA
"1014","Weight of Livestock Slaughtered (000 Tonnes)","1977M10","Bullocks",NA
"1015","Number of Livestock Slaughtered (000 Head)","1977M11","Bullocks",NA
"1016","Weight of Livestock Slaughtered (000 Tonnes)","1977M11","Bullocks",NA
"1017","Number of Livestock Slaughtered (000 Head)","1977M12","Bullocks",NA
"1018","Weight of Livestock Slaughtered (000 Tonnes)","1977M12","Bullocks",NA
"1019","Number of Livestock Slaughtered (000 Head)","1978M01","Bullocks",NA
"1020","Weight of Livestock Slaughtered (000 Tonnes)","1978M01","Bullocks",NA
"1021","Number of Livestock Slaughtered (000 Head)","1978M02","Bullocks",NA
"1022","Weight of Livestock Slaughtered (000 Tonnes)","1978M02","Bullocks",NA
"1023","Number of Livestock Slaughtered (000 Head)","1978M03","Bullocks",NA
"1024","Weight of Livestock Slaughtered (000 Tonnes)","1978M03","Bullocks",NA
"1025","Number of Livestock Slaughtered (000 Head)","1978M04","Bullocks",NA
"1026","Weight of Livestock Slaughtered (000 Tonnes)","1978M04","Bullocks",NA
"1027","Number of Livestock Slaughtered (000 Head)","1978M05","Bullocks",NA
"1028","Weight of Livestock Slaughtered (000 Tonnes)","1978M05","Bullocks",NA
"1029","Number of Livestock Slaughtered (000 Head)","1978M06","Bullocks",NA
"1030","Weight of Livestock Slaughtered (000 Tonnes)","1978M06","Bullocks",NA
"1031","Number of Livestock Slaughtered (000 Head)","1978M07","Bullocks",NA
"1032","Weight of Livestock Slaughtered (000 Tonnes)","1978M07","Bullocks",NA
"1033","Number of Livestock Slaughtered (000 Head)","1978M08","Bullocks",NA
"1034","Weight of Livestock Slaughtered (000 Tonnes)","1978M08","Bullocks",NA
"1035","Number of Livestock Slaughtered (000 Head)","1978M09","Bullocks",NA
"1036","Weight of Livestock Slaughtered (000 Tonnes)","1978M09","Bullocks",NA
"1037","Number of Livestock Slaughtered (000 Head)","1978M10","Bullocks",NA
"1038","Weight of Livestock Slaughtered (000 Tonnes)","1978M10","Bullocks",NA
"1039","Number of Livestock Slaughtered (000 Head)","1978M11","Bullocks",NA
"1040","Weight of Livestock Slaughtered (000 Tonnes)","1978M11","Bullocks",NA
"1041","Number of Livestock Slaughtered (000 Head)","1978M12","Bullocks",NA
"1042","Weight of Livestock Slaughtered (000 Tonnes)","1978M12","Bullocks",NA
"1043","Number of Livestock Slaughtered (000 Head)","1979M01","Bullocks",NA
"1044","Weight of Livestock Slaughtered (000 Tonnes)","1979M01","Bullocks",NA
"1045","Number of Livestock Slaughtered (000 Head)","1979M02","Bullocks",NA
"1046","Weight of Livestock Slaughtered (000 Tonnes)","1979M02","Bullocks",NA
"1047","Number of Livestock Slaughtered (000 Head)","1979M03","Bullocks",NA
"1048","Weight of Livestock Slaughtered (000 Tonnes)","1979M03","Bullocks",NA
"1049","Number of Livestock Slaughtered (000 Head)","1979M04","Bullocks",NA
"1050","Weight of Livestock Slaughtered (000 Tonnes)","1979M04","Bullocks",NA
"1051","Number of Livestock Slaughtered (000 Head)","1979M05","Bullocks",NA
"1052","Weight of Livestock Slaughtered (000 Tonnes)","1979M05","Bullocks",NA
"1053","Number of Livestock Slaughtered (000 Head)","1979M06","Bullocks",NA
"1054","Weight of Livestock Slaughtered (000 Tonnes)","1979M06","Bullocks",NA
"1055","Number of Livestock Slaughtered (000 Head)","1979M07","Bullocks",NA
"1056","Weight of Livestock Slaughtered (000 Tonnes)","1979M07","Bullocks",NA
"1057","Number of Livestock Slaughtered (000 Head)","1979M08","Bullocks",NA
"1058","Weight of Livestock Slaughtered (000 Tonnes)","1979M08","Bullocks",NA
"1059","Number of Livestock Slaughtered (000 Head)","1979M09","Bullocks",NA
"1060","Weight of Livestock Slaughtered (000 Tonnes)","1979M09","Bullocks",NA
"1061","Number of Livestock Slaughtered (000 Head)","1979M10","Bullocks",NA
"1062","Weight of Livestock Slaughtered (000 Tonnes)","1979M10","Bullocks",NA
"1063","Number of Livestock Slaughtered (000 Head)","1979M11","Bullocks",NA
"1064","Weight of Livestock Slaughtered (000 Tonnes)","1979M11","Bullocks",NA
"1065","Number of Livestock Slaughtered (000 Head)","1979M12","Bullocks",NA
"1066","Weight of Livestock Slaughtered (000 Tonnes)","1979M12","Bullocks",NA
"1067","Number of Livestock Slaughtered (000 Head)","1980M01","Bullocks",70.6
"1068","Weight of Livestock Slaughtered (000 Tonnes)","1980M01","Bullocks",23.4
"1069","Number of Livestock Slaughtered (000 Head)","1980M02","Bullocks",64
"1070","Weight of Livestock Slaughtered (000 Tonnes)","1980M02","Bullocks",21.3
"1071","Number of Livestock Slaughtered (000 Head)","1980M03","Bullocks",44.6
"1072","Weight of Livestock Slaughtered (000 Tonnes)","1980M03","Bullocks",14.8
"1073","Number of Livestock Slaughtered (000 Head)","1980M04","Bullocks",43.7
"1074","Weight of Livestock Slaughtered (000 Tonnes)","1980M04","Bullocks",14.4
"1075","Number of Livestock Slaughtered (000 Head)","1980M05","Bullocks",43.6
"1076","Weight of Livestock Slaughtered (000 Tonnes)","1980M05","Bullocks",14.6
"1077","Number of Livestock Slaughtered (000 Head)","1980M06","Bullocks",43.3
"1078","Weight of Livestock Slaughtered (000 Tonnes)","1980M06","Bullocks",14.7
"1079","Number of Livestock Slaughtered (000 Head)","1980M07","Bullocks",59.4
"1080","Weight of Livestock Slaughtered (000 Tonnes)","1980M07","Bullocks",20.6
"1081","Number of Livestock Slaughtered (000 Head)","1980M08","Bullocks",68
"1082","Weight of Livestock Slaughtered (000 Tonnes)","1980M08","Bullocks",22.1
"1083","Number of Livestock Slaughtered (000 Head)","1980M09","Bullocks",81.3
"1084","Weight of Livestock Slaughtered (000 Tonnes)","1980M09","Bullocks",26.4
"1085","Number of Livestock Slaughtered (000 Head)","1980M10","Bullocks",95
"1086","Weight of Livestock Slaughtered (000 Tonnes)","1980M10","Bullocks",30.1
"1087","Number of Livestock Slaughtered (000 Head)","1980M11","Bullocks",72.9
"1088","Weight of Livestock Slaughtered (000 Tonnes)","1980M11","Bullocks",23.1
"1089","Number of Livestock Slaughtered (000 Head)","1980M12","Bullocks",46.4
"1090","Weight of Livestock Slaughtered (000 Tonnes)","1980M12","Bullocks",14.7
"1091","Number of Livestock Slaughtered (000 Head)","1981M01","Bullocks",26.8
"1092","Weight of Livestock Slaughtered (000 Tonnes)","1981M01","Bullocks",8.8
"1093","Number of Livestock Slaughtered (000 Head)","1981M02","Bullocks",18.9
"1094","Weight of Livestock Slaughtered (000 Tonnes)","1981M02","Bullocks",6.2
"1095","Number of Livestock Slaughtered (000 Head)","1981M03","Bullocks",21
"1096","Weight of Livestock Slaughtered (000 Tonnes)","1981M03","Bullocks",6.9
"1097","Number of Livestock Slaughtered (000 Head)","1981M04","Bullocks",27.2
"1098","Weight of Livestock Slaughtered (000 Tonnes)","1981M04","Bullocks",8.9
"1099","Number of Livestock Slaughtered (000 Head)","1981M05","Bullocks",31.5
"1100","Weight of Livestock Slaughtered (000 Tonnes)","1981M05","Bullocks",10.3
"1101","Number of Livestock Slaughtered (000 Head)","1981M06","Bullocks",31.9
"1102","Weight of Livestock Slaughtered (000 Tonnes)","1981M06","Bullocks",10.3
"1103","Number of Livestock Slaughtered (000 Head)","1981M07","Bullocks",37.6
"1104","Weight of Livestock Slaughtered (000 Tonnes)","1981M07","Bullocks",12.2
"1105","Number of Livestock Slaughtered (000 Head)","1981M08","Bullocks",45.6
"1106","Weight of Livestock Slaughtered (000 Tonnes)","1981M08","Bullocks",14.9
"1107","Number of Livestock Slaughtered (000 Head)","1981M09","Bullocks",68.1
