"","Statistic","Month","Liveweight","value"
"331","Sheep Price per Head (Euro)","1989M10","Mart Sheep 30-39kg",47.13
"332","Sheep Price per Kg (Euro)","1989M10","Mart Sheep 30-39kg",1.3
"333","Sheep Price per Head (Euro)","1989M11","Mart Sheep 30-39kg",45.57
"334","Sheep Price per Kg (Euro)","1989M11","Mart Sheep 30-39kg",1.27
"335","Sheep Price per Head (Euro)","1989M12","Mart Sheep 30-39kg",45.53
"336","Sheep Price per Kg (Euro)","1989M12","Mart Sheep 30-39kg",1.24
"337","Sheep Price per Head (Euro)","1990M01","Mart Sheep 30-39kg",42.83
"338","Sheep Price per Kg (Euro)","1990M01","Mart Sheep 30-39kg",1.18
"339","Sheep Price per Head (Euro)","1990M02","Mart Sheep 30-39kg",43.72
"340","Sheep Price per Kg (Euro)","1990M02","Mart Sheep 30-39kg",1.19
"341","Sheep Price per Head (Euro)","1990M03","Mart Sheep 30-39kg",47.98
"342","Sheep Price per Kg (Euro)","1990M03","Mart Sheep 30-39kg",1.33
"343","Sheep Price per Head (Euro)","1990M04","Mart Sheep 30-39kg",52.69
"344","Sheep Price per Kg (Euro)","1990M04","Mart Sheep 30-39kg",1.41
"345","Sheep Price per Head (Euro)","1990M05","Mart Sheep 30-39kg",48.24
"346","Sheep Price per Kg (Euro)","1990M05","Mart Sheep 30-39kg",1.28
"347","Sheep Price per Head (Euro)","1990M06","Mart Sheep 30-39kg",42.51
"348","Sheep Price per Kg (Euro)","1990M06","Mart Sheep 30-39kg",1.12
"349","Sheep Price per Head (Euro)","1990M07","Mart Sheep 30-39kg",37.61
"350","Sheep Price per Kg (Euro)","1990M07","Mart Sheep 30-39kg",1
"351","Sheep Price per Head (Euro)","1990M08","Mart Sheep 30-39kg",36.85
"352","Sheep Price per Kg (Euro)","1990M08","Mart Sheep 30-39kg",0.99
"353","Sheep Price per Head (Euro)","1990M09","Mart Sheep 30-39kg",35.25
"354","Sheep Price per Kg (Euro)","1990M09","Mart Sheep 30-39kg",0.98
"355","Sheep Price per Head (Euro)","1990M10","Mart Sheep 30-39kg",32.05
"356","Sheep Price per Kg (Euro)","1990M10","Mart Sheep 30-39kg",0.89
"357","Sheep Price per Head (Euro)","1990M11","Mart Sheep 30-39kg",36.56
"358","Sheep Price per Kg (Euro)","1990M11","Mart Sheep 30-39kg",1.03
"359","Sheep Price per Head (Euro)","1990M12","Mart Sheep 30-39kg",40.2
"360","Sheep Price per Kg (Euro)","1990M12","Mart Sheep 30-39kg",1.13
"361","Sheep Price per Head (Euro)","1991M01","Mart Sheep 30-39kg",43.11
"362","Sheep Price per Kg (Euro)","1991M01","Mart Sheep 30-39kg",1.26
"363","Sheep Price per Head (Euro)","1991M02","Mart Sheep 30-39kg",46.29
"364","Sheep Price per Kg (Euro)","1991M02","Mart Sheep 30-39kg",1.28
"365","Sheep Price per Head (Euro)","1991M03","Mart Sheep 30-39kg",53.24
"366","Sheep Price per Kg (Euro)","1991M03","Mart Sheep 30-39kg",1.47
"367","Sheep Price per Head (Euro)","1991M04","Mart Sheep 30-39kg",60.6
"368","Sheep Price per Kg (Euro)","1991M04","Mart Sheep 30-39kg",1.63
"369","Sheep Price per Head (Euro)","1991M05","Mart Sheep 30-39kg",55.69
"370","Sheep Price per Kg (Euro)","1991M05","Mart Sheep 30-39kg",1.49
"371","Sheep Price per Head (Euro)","1991M06","Mart Sheep 30-39kg",41.47
"372","Sheep Price per Kg (Euro)","1991M06","Mart Sheep 30-39kg",1.09
"373","Sheep Price per Head (Euro)","1991M07","Mart Sheep 30-39kg",39.27
"374","Sheep Price per Kg (Euro)","1991M07","Mart Sheep 30-39kg",1.07
"375","Sheep Price per Head (Euro)","1991M08","Mart Sheep 30-39kg",36.73
"376","Sheep Price per Kg (Euro)","1991M08","Mart Sheep 30-39kg",1.02
"377","Sheep Price per Head (Euro)","1991M09","Mart Sheep 30-39kg",36.06
"378","Sheep Price per Kg (Euro)","1991M09","Mart Sheep 30-39kg",1
"379","Sheep Price per Head (Euro)","1991M10","Mart Sheep 30-39kg",35.24
"380","Sheep Price per Kg (Euro)","1991M10","Mart Sheep 30-39kg",0.98
"381","Sheep Price per Head (Euro)","1991M11","Mart Sheep 30-39kg",38.54
"382","Sheep Price per Kg (Euro)","1991M11","Mart Sheep 30-39kg",1.07
"383","Sheep Price per Head (Euro)","1991M12","Mart Sheep 30-39kg",41.9
"384","Sheep Price per Kg (Euro)","1991M12","Mart Sheep 30-39kg",1.16
"385","Sheep Price per Head (Euro)","1992M01","Mart Sheep 30-39kg",44.99
"386","Sheep Price per Kg (Euro)","1992M01","Mart Sheep 30-39kg",1.23
"387","Sheep Price per Head (Euro)","1992M02","Mart Sheep 30-39kg",45.06
"388","Sheep Price per Kg (Euro)","1992M02","Mart Sheep 30-39kg",1.26
"389","Sheep Price per Head (Euro)","1992M03","Mart Sheep 30-39kg",46.09
"390","Sheep Price per Kg (Euro)","1992M03","Mart Sheep 30-39kg",1.26
"391","Sheep Price per Head (Euro)","1992M04","Mart Sheep 30-39kg",52.43
"392","Sheep Price per Kg (Euro)","1992M04","Mart Sheep 30-39kg",1.4
"393","Sheep Price per Head (Euro)","1992M05","Mart Sheep 30-39kg",45.44
"394","Sheep Price per Kg (Euro)","1992M05","Mart Sheep 30-39kg",1.19
"395","Sheep Price per Head (Euro)","1992M06","Mart Sheep 30-39kg",39.34
"396","Sheep Price per Kg (Euro)","1992M06","Mart Sheep 30-39kg",1.04
"397","Sheep Price per Head (Euro)","1992M07","Mart Sheep 30-39kg",36.67
"398","Sheep Price per Kg (Euro)","1992M07","Mart Sheep 30-39kg",1.02
"399","Sheep Price per Head (Euro)","1992M08","Mart Sheep 30-39kg",36.56
"400","Sheep Price per Kg (Euro)","1992M08","Mart Sheep 30-39kg",1.02
"401","Sheep Price per Head (Euro)","1992M09","Mart Sheep 30-39kg",34.99
"402","Sheep Price per Kg (Euro)","1992M09","Mart Sheep 30-39kg",0.97
"403","Sheep Price per Head (Euro)","1992M10","Mart Sheep 30-39kg",33.44
"404","Sheep Price per Kg (Euro)","1992M10","Mart Sheep 30-39kg",0.93
"405","Sheep Price per Head (Euro)","1992M11","Mart Sheep 30-39kg",32.78
"406","Sheep Price per Kg (Euro)","1992M11","Mart Sheep 30-39kg",0.9
"407","Sheep Price per Head (Euro)","1992M12","Mart Sheep 30-39kg",31.26
"408","Sheep Price per Kg (Euro)","1992M12","Mart Sheep 30-39kg",0.85
"409","Sheep Price per Head (Euro)","1993M01","Mart Sheep 30-39kg",32.98
"410","Sheep Price per Kg (Euro)","1993M01","Mart Sheep 30-39kg",0.91
"411","Sheep Price per Head (Euro)","1993M02","Mart Sheep 30-39kg",37.22
"412","Sheep Price per Kg (Euro)","1993M02","Mart Sheep 30-39kg",1.03
"413","Sheep Price per Head (Euro)","1993M03","Mart Sheep 30-39kg",43.7
"414","Sheep Price per Kg (Euro)","1993M03","Mart Sheep 30-39kg",1.21
"415","Sheep Price per Head (Euro)","1993M04","Mart Sheep 30-39kg",59.94
"416","Sheep Price per Kg (Euro)","1993M04","Mart Sheep 30-39kg",1.61
"417","Sheep Price per Head (Euro)","1993M05","Mart Sheep 30-39kg",58.83
"418","Sheep Price per Kg (Euro)","1993M05","Mart Sheep 30-39kg",1.56
"419","Sheep Price per Head (Euro)","1993M06","Mart Sheep 30-39kg",50.43
"420","Sheep Price per Kg (Euro)","1993M06","Mart Sheep 30-39kg",1.35
"421","Sheep Price per Head (Euro)","1993M07","Mart Sheep 30-39kg",43.04
"422","Sheep Price per Kg (Euro)","1993M07","Mart Sheep 30-39kg",1.17
"423","Sheep Price per Head (Euro)","1993M08","Mart Sheep 30-39kg",41.89
"424","Sheep Price per Kg (Euro)","1993M08","Mart Sheep 30-39kg",1.17
"425","Sheep Price per Head (Euro)","1993M09","Mart Sheep 30-39kg",37.34
"426","Sheep Price per Kg (Euro)","1993M09","Mart Sheep 30-39kg",1.04
"427","Sheep Price per Head (Euro)","1993M10","Mart Sheep 30-39kg",37.34
"428","Sheep Price per Kg (Euro)","1993M10","Mart Sheep 30-39kg",1.05
"429","Sheep Price per Head (Euro)","1993M11","Mart Sheep 30-39kg",41.32
"430","Sheep Price per Kg (Euro)","1993M11","Mart Sheep 30-39kg",1.16
"431","Sheep Price per Head (Euro)","1993M12","Mart Sheep 30-39kg",39.59
"432","Sheep Price per Kg (Euro)","1993M12","Mart Sheep 30-39kg",1.1
"433","Sheep Price per Head (Euro)","1994M01","Mart Sheep 30-39kg",41.93
"434","Sheep Price per Kg (Euro)","1994M01","Mart Sheep 30-39kg",1.16
"435","Sheep Price per Head (Euro)","1994M02","Mart Sheep 30-39kg",45.47
"436","Sheep Price per Kg (Euro)","1994M02","Mart Sheep 30-39kg",1.28
"437","Sheep Price per Head (Euro)","1994M03","Mart Sheep 30-39kg",61.85
"438","Sheep Price per Kg (Euro)","1994M03","Mart Sheep 30-39kg",1.69
"439","Sheep Price per Head (Euro)","1994M04","Mart Sheep 30-39kg",67.59
"440","Sheep Price per Kg (Euro)","1994M04","Mart Sheep 30-39kg",1.82
"441","Sheep Price per Head (Euro)","1994M05","Mart Sheep 30-39kg",62.42
"442","Sheep Price per Kg (Euro)","1994M05","Mart Sheep 30-39kg",1.66
"443","Sheep Price per Head (Euro)","1994M06","Mart Sheep 30-39kg",47.29
"444","Sheep Price per Kg (Euro)","1994M06","Mart Sheep 30-39kg",1.24
"445","Sheep Price per Head (Euro)","1994M07","Mart Sheep 30-39kg",45.19
"446","Sheep Price per Kg (Euro)","1994M07","Mart Sheep 30-39kg",1.22
"447","Sheep Price per Head (Euro)","1994M08","Mart Sheep 30-39kg",40.24
"448","Sheep Price per Kg (Euro)","1994M08","Mart Sheep 30-39kg",1.12
"449","Sheep Price per Head (Euro)","1994M09","Mart Sheep 30-39kg",38.61
"450","Sheep Price per Kg (Euro)","1994M09","Mart Sheep 30-39kg",1.08
"451","Sheep Price per Head (Euro)","1994M10","Mart Sheep 30-39kg",38.1
"452","Sheep Price per Kg (Euro)","1994M10","Mart Sheep 30-39kg",1.12
"453","Sheep Price per Head (Euro)","1994M11","Mart Sheep 30-39kg",45.71
"454","Sheep Price per Kg (Euro)","1994M11","Mart Sheep 30-39kg",1.27
"455","Sheep Price per Head (Euro)","1994M12","Mart Sheep 30-39kg",50
"456","Sheep Price per Kg (Euro)","1994M12","Mart Sheep 30-39kg",1.41
"457","Sheep Price per Head (Euro)","1995M01","Mart Sheep 30-39kg",56.17
"458","Sheep Price per Kg (Euro)","1995M01","Mart Sheep 30-39kg",1.55
"459","Sheep Price per Head (Euro)","1995M02","Mart Sheep 30-39kg",53.99
"460","Sheep Price per Kg (Euro)","1995M02","Mart Sheep 30-39kg",1.5
"461","Sheep Price per Head (Euro)","1995M03","Mart Sheep 30-39kg",49.99
"462","Sheep Price per Kg (Euro)","1995M03","Mart Sheep 30-39kg",1.38
"463","Sheep Price per Head (Euro)","1995M04","Mart Sheep 30-39kg",60.13
"464","Sheep Price per Kg (Euro)","1995M04","Mart Sheep 30-39kg",1.61
"465","Sheep Price per Head (Euro)","1995M05","Mart Sheep 30-39kg",53.16
"466","Sheep Price per Kg (Euro)","1995M05","Mart Sheep 30-39kg",1.4
"467","Sheep Price per Head (Euro)","1995M06","Mart Sheep 30-39kg",43.81
"468","Sheep Price per Kg (Euro)","1995M06","Mart Sheep 30-39kg",1.17
"469","Sheep Price per Head (Euro)","1995M07","Mart Sheep 30-39kg",39.93
"470","Sheep Price per Kg (Euro)","1995M07","Mart Sheep 30-39kg",1.08
"471","Sheep Price per Head (Euro)","1995M08","Mart Sheep 30-39kg",37.69
"472","Sheep Price per Kg (Euro)","1995M08","Mart Sheep 30-39kg",1.06
"473","Sheep Price per Head (Euro)","1995M09","Mart Sheep 30-39kg",39.95
"474","Sheep Price per Kg (Euro)","1995M09","Mart Sheep 30-39kg",1.12
"475","Sheep Price per Head (Euro)","1995M10","Mart Sheep 30-39kg",44.5
"476","Sheep Price per Kg (Euro)","1995M10","Mart Sheep 30-39kg",1.25
"477","Sheep Price per Head (Euro)","1995M11","Mart Sheep 30-39kg",47.52
"478","Sheep Price per Kg (Euro)","1995M11","Mart Sheep 30-39kg",1.31
"479","Sheep Price per Head (Euro)","1995M12","Mart Sheep 30-39kg",46.61
"480","Sheep Price per Kg (Euro)","1995M12","Mart Sheep 30-39kg",1.29
"481","Sheep Price per Head (Euro)","1996M01","Mart Sheep 30-39kg",50.46
"482","Sheep Price per Kg (Euro)","1996M01","Mart Sheep 30-39kg",1.39
"483","Sheep Price per Head (Euro)","1996M02","Mart Sheep 30-39kg",54.09
"484","Sheep Price per Kg (Euro)","1996M02","Mart Sheep 30-39kg",1.54
"485","Sheep Price per Head (Euro)","1996M03","Mart Sheep 30-39kg",59.28
"486","Sheep Price per Kg (Euro)","1996M03","Mart Sheep 30-39kg",1.66
"487","Sheep Price per Head (Euro)","1996M04","Mart Sheep 30-39kg",75.74
"488","Sheep Price per Kg (Euro)","1996M04","Mart Sheep 30-39kg",2.04
"489","Sheep Price per Head (Euro)","1996M05","Mart Sheep 30-39kg",69.55
"490","Sheep Price per Kg (Euro)","1996M05","Mart Sheep 30-39kg",1.84
"491","Sheep Price per Head (Euro)","1996M06","Mart Sheep 30-39kg",56.48
"492","Sheep Price per Kg (Euro)","1996M06","Mart Sheep 30-39kg",1.5
"493","Sheep Price per Head (Euro)","1996M07","Mart Sheep 30-39kg",49.7
"494","Sheep Price per Kg (Euro)","1996M07","Mart Sheep 30-39kg",1.36
"495","Sheep Price per Head (Euro)","1996M08","Mart Sheep 30-39kg",51.48
"496","Sheep Price per Kg (Euro)","1996M08","Mart Sheep 30-39kg",1.44
"497","Sheep Price per Head (Euro)","1996M09","Mart Sheep 30-39kg",54.59
"498","Sheep Price per Kg (Euro)","1996M09","Mart Sheep 30-39kg",1.53
"499","Sheep Price per Head (Euro)","1996M10","Mart Sheep 30-39kg",55.08
"500","Sheep Price per Kg (Euro)","1996M10","Mart Sheep 30-39kg",1.53
"501","Sheep Price per Head (Euro)","1996M11","Mart Sheep 30-39kg",62.1
"502","Sheep Price per Kg (Euro)","1996M11","Mart Sheep 30-39kg",1.78
"503","Sheep Price per Head (Euro)","1996M12","Mart Sheep 30-39kg",65.36
"504","Sheep Price per Kg (Euro)","1996M12","Mart Sheep 30-39kg",1.81
"505","Sheep Price per Head (Euro)","1997M01","Mart Sheep 30-39kg",67.55
"506","Sheep Price per Kg (Euro)","1997M01","Mart Sheep 30-39kg",1.92
"507","Sheep Price per Head (Euro)","1997M02","Mart Sheep 30-39kg",64.61
"508","Sheep Price per Kg (Euro)","1997M02","Mart Sheep 30-39kg",1.95
"509","Sheep Price per Head (Euro)","1997M03","Mart Sheep 30-39kg",78.34
"510","Sheep Price per Kg (Euro)","1997M03","Mart Sheep 30-39kg",2.14
"511","Sheep Price per Head (Euro)","1997M04","Mart Sheep 30-39kg",72.4
"512","Sheep Price per Kg (Euro)","1997M04","Mart Sheep 30-39kg",1.93
"513","Sheep Price per Head (Euro)","1997M05","Mart Sheep 30-39kg",65.78
"514","Sheep Price per Kg (Euro)","1997M05","Mart Sheep 30-39kg",1.96
"515","Sheep Price per Head (Euro)","1997M06","Mart Sheep 30-39kg",58.21
"516","Sheep Price per Kg (Euro)","1997M06","Mart Sheep 30-39kg",1.55
"517","Sheep Price per Head (Euro)","1997M07","Mart Sheep 30-39kg",58.44
"518","Sheep Price per Kg (Euro)","1997M07","Mart Sheep 30-39kg",1.6
"519","Sheep Price per Head (Euro)","1997M08","Mart Sheep 30-39kg",59.91
"520","Sheep Price per Kg (Euro)","1997M08","Mart Sheep 30-39kg",1.68
"521","Sheep Price per Head (Euro)","1997M09","Mart Sheep 30-39kg",58.12
"522","Sheep Price per Kg (Euro)","1997M09","Mart Sheep 30-39kg",1.65
"523","Sheep Price per Head (Euro)","1997M10","Mart Sheep 30-39kg",55.35
"524","Sheep Price per Kg (Euro)","1997M10","Mart Sheep 30-39kg",1.56
"525","Sheep Price per Head (Euro)","1997M11","Mart Sheep 30-39kg",54.79
"526","Sheep Price per Kg (Euro)","1997M11","Mart Sheep 30-39kg",1.51
"527","Sheep Price per Head (Euro)","1997M12","Mart Sheep 30-39kg",48.67
"528","Sheep Price per Kg (Euro)","1997M12","Mart Sheep 30-39kg",1.36
"529","Sheep Price per Head (Euro)","1998M01","Mart Sheep 30-39kg",49.9
"530","Sheep Price per Kg (Euro)","1998M01","Mart Sheep 30-39kg",1.39
"531","Sheep Price per Head (Euro)","1998M02","Mart Sheep 30-39kg",44.89
"532","Sheep Price per Kg (Euro)","1998M02","Mart Sheep 30-39kg",1.25
"533","Sheep Price per Head (Euro)","1998M03","Mart Sheep 30-39kg",44.25
"534","Sheep Price per Kg (Euro)","1998M03","Mart Sheep 30-39kg",1.21
"535","Sheep Price per Head (Euro)","1998M04","Mart Sheep 30-39kg",61.41
"536","Sheep Price per Kg (Euro)","1998M04","Mart Sheep 30-39kg",1.65
"537","Sheep Price per Head (Euro)","1998M05","Mart Sheep 30-39kg",63.46
"538","Sheep Price per Kg (Euro)","1998M05","Mart Sheep 30-39kg",1.69
"539","Sheep Price per Head (Euro)","1998M06","Mart Sheep 30-39kg",60.61
"540","Sheep Price per Kg (Euro)","1998M06","Mart Sheep 30-39kg",1.62
"541","Sheep Price per Head (Euro)","1998M07","Mart Sheep 30-39kg",56.81
"542","Sheep Price per Kg (Euro)","1998M07","Mart Sheep 30-39kg",1.52
"543","Sheep Price per Head (Euro)","1998M08","Mart Sheep 30-39kg",50.44
"544","Sheep Price per Kg (Euro)","1998M08","Mart Sheep 30-39kg",1.41
"545","Sheep Price per Head (Euro)","1998M09","Mart Sheep 30-39kg",44.83
"546","Sheep Price per Kg (Euro)","1998M09","Mart Sheep 30-39kg",1.25
"547","Sheep Price per Head (Euro)","1998M10","Mart Sheep 30-39kg",39.42
"548","Sheep Price per Kg (Euro)","1998M10","Mart Sheep 30-39kg",1.1
"549","Sheep Price per Head (Euro)","1998M11","Mart Sheep 30-39kg",35.39
"550","Sheep Price per Kg (Euro)","1998M11","Mart Sheep 30-39kg",1
"551","Sheep Price per Head (Euro)","1998M12","Mart Sheep 30-39kg",35.79
"552","Sheep Price per Kg (Euro)","1998M12","Mart Sheep 30-39kg",0.98
"553","Sheep Price per Head (Euro)","1999M01","Mart Sheep 30-39kg",35.46
"554","Sheep Price per Kg (Euro)","1999M01","Mart Sheep 30-39kg",0.97
"555","Sheep Price per Head (Euro)","1999M02","Mart Sheep 30-39kg",41.07
"556","Sheep Price per Kg (Euro)","1999M02","Mart Sheep 30-39kg",1.14
"557","Sheep Price per Head (Euro)","1999M03","Mart Sheep 30-39kg",54.65
"558","Sheep Price per Kg (Euro)","1999M03","Mart Sheep 30-39kg",1.52
"559","Sheep Price per Head (Euro)","1999M04","Mart Sheep 30-39kg",53.67
"560","Sheep Price per Kg (Euro)","1999M04","Mart Sheep 30-39kg",1.44
"561","Sheep Price per Head (Euro)","1999M05","Mart Sheep 30-39kg",55.18
"562","Sheep Price per Kg (Euro)","1999M05","Mart Sheep 30-39kg",1.48
"563","Sheep Price per Head (Euro)","1999M06","Mart Sheep 30-39kg",54.45
"564","Sheep Price per Kg (Euro)","1999M06","Mart Sheep 30-39kg",1.44
"565","Sheep Price per Head (Euro)","1999M07","Mart Sheep 30-39kg",44.7
"566","Sheep Price per Kg (Euro)","1999M07","Mart Sheep 30-39kg",1.21
"567","Sheep Price per Head (Euro)","1999M08","Mart Sheep 30-39kg",39.16
"568","Sheep Price per Kg (Euro)","1999M08","Mart Sheep 30-39kg",1.09
"569","Sheep Price per Head (Euro)","1999M09","Mart Sheep 30-39kg",40.94
"570","Sheep Price per Kg (Euro)","1999M09","Mart Sheep 30-39kg",1.13
"571","Sheep Price per Head (Euro)","1999M10","Mart Sheep 30-39kg",36.86
"572","Sheep Price per Kg (Euro)","1999M10","Mart Sheep 30-39kg",1.03
"573","Sheep Price per Head (Euro)","1999M11","Mart Sheep 30-39kg",40.32
"574","Sheep Price per Kg (Euro)","1999M11","Mart Sheep 30-39kg",1.13
"575","Sheep Price per Head (Euro)","1999M12","Mart Sheep 30-39kg",39.17
"576","Sheep Price per Kg (Euro)","1999M12","Mart Sheep 30-39kg",1.11
"577","Sheep Price per Head (Euro)","2000M01","Mart Sheep 30-39kg",52.38
"578","Sheep Price per Kg (Euro)","2000M01","Mart Sheep 30-39kg",1.46
"579","Sheep Price per Head (Euro)","2000M02","Mart Sheep 30-39kg",57.65
"580","Sheep Price per Kg (Euro)","2000M02","Mart Sheep 30-39kg",1.59
"581","Sheep Price per Head (Euro)","2000M03","Mart Sheep 30-39kg",58.15
"582","Sheep Price per Kg (Euro)","2000M03","Mart Sheep 30-39kg",1.6
"583","Sheep Price per Head (Euro)","2000M04","Mart Sheep 30-39kg",66.44
"584","Sheep Price per Kg (Euro)","2000M04","Mart Sheep 30-39kg",1.78
"585","Sheep Price per Head (Euro)","2000M05","Mart Sheep 30-39kg",58.71
"586","Sheep Price per Kg (Euro)","2000M05","Mart Sheep 30-39kg",1.55
"587","Sheep Price per Head (Euro)","2000M06","Mart Sheep 30-39kg",51.93
"588","Sheep Price per Kg (Euro)","2000M06","Mart Sheep 30-39kg",1.37
"589","Sheep Price per Head (Euro)","2000M07","Mart Sheep 30-39kg",46.61
"590","Sheep Price per Kg (Euro)","2000M07","Mart Sheep 30-39kg",1.29
"591","Sheep Price per Head (Euro)","2000M08","Mart Sheep 30-39kg",46.8
"592","Sheep Price per Kg (Euro)","2000M08","Mart Sheep 30-39kg",1.33
"593","Sheep Price per Head (Euro)","2000M09","Mart Sheep 30-39kg",46.64
"594","Sheep Price per Kg (Euro)","2000M09","Mart Sheep 30-39kg",1.33
"595","Sheep Price per Head (Euro)","2000M10","Mart Sheep 30-39kg",47.56
"596","Sheep Price per Kg (Euro)","2000M10","Mart Sheep 30-39kg",1.32
"597","Sheep Price per Head (Euro)","2000M11","Mart Sheep 30-39kg",51.02
"598","Sheep Price per Kg (Euro)","2000M11","Mart Sheep 30-39kg",1.4
"599","Sheep Price per Head (Euro)","2000M12","Mart Sheep 30-39kg",53.41
"600","Sheep Price per Kg (Euro)","2000M12","Mart Sheep 30-39kg",1.47
"601","Sheep Price per Head (Euro)","2001M01","Mart Sheep 30-39kg",60.66
"602","Sheep Price per Kg (Euro)","2001M01","Mart Sheep 30-39kg",1.69
"603","Sheep Price per Head (Euro)","2001M02","Mart Sheep 30-39kg",65.38
"604","Sheep Price per Kg (Euro)","2001M02","Mart Sheep 30-39kg",1.79
"605","Sheep Price per Head (Euro)","2001M03","Mart Sheep 30-39kg",NA
"606","Sheep Price per Kg (Euro)","2001M03","Mart Sheep 30-39kg",NA
"607","Sheep Price per Head (Euro)","2001M04","Mart Sheep 30-39kg",NA
"608","Sheep Price per Kg (Euro)","2001M04","Mart Sheep 30-39kg",NA
"609","Sheep Price per Head (Euro)","2001M05","Mart Sheep 30-39kg",NA
"610","Sheep Price per Kg (Euro)","2001M05","Mart Sheep 30-39kg",NA
"611","Sheep Price per Head (Euro)","2001M06","Mart Sheep 30-39kg",NA
"612","Sheep Price per Kg (Euro)","2001M06","Mart Sheep 30-39kg",NA
"613","Sheep Price per Head (Euro)","2001M07","Mart Sheep 30-39kg",NA
"614","Sheep Price per Kg (Euro)","2001M07","Mart Sheep 30-39kg",NA
"615","Sheep Price per Head (Euro)","2001M08","Mart Sheep 30-39kg",67.15
"616","Sheep Price per Kg (Euro)","2001M08","Mart Sheep 30-39kg",1.86
"617","Sheep Price per Head (Euro)","2001M09","Mart Sheep 30-39kg",66.61
"618","Sheep Price per Kg (Euro)","2001M09","Mart Sheep 30-39kg",1.88
"619","Sheep Price per Head (Euro)","2001M10","Mart Sheep 30-39kg",70.45
"620","Sheep Price per Kg (Euro)","2001M10","Mart Sheep 30-39kg",1.98
"621","Sheep Price per Head (Euro)","2001M11","Mart Sheep 30-39kg",77.26
"622","Sheep Price per Kg (Euro)","2001M11","Mart Sheep 30-39kg",2.13
"623","Sheep Price per Head (Euro)","2001M12","Mart Sheep 30-39kg",82.69
"624","Sheep Price per Kg (Euro)","2001M12","Mart Sheep 30-39kg",2.3
"625","Sheep Price per Head (Euro)","2002M01","Mart Sheep 30-39kg",83.56
"626","Sheep Price per Kg (Euro)","2002M01","Mart Sheep 30-39kg",2.28
"627","Sheep Price per Head (Euro)","2002M02","Mart Sheep 30-39kg",63.77
"628","Sheep Price per Kg (Euro)","2002M02","Mart Sheep 30-39kg",1.78
"629","Sheep Price per Head (Euro)","2002M03","Mart Sheep 30-39kg",81.25
"630","Sheep Price per Kg (Euro)","2002M03","Mart Sheep 30-39kg",2.2
"631","Sheep Price per Head (Euro)","2002M04","Mart Sheep 30-39kg",78.02
"632","Sheep Price per Kg (Euro)","2002M04","Mart Sheep 30-39kg",2.06
