"","Year","Type.of.Fertiliser","value"
"376","1981","Compound 27-2.5-5",178
"377","1982","Compound 27-2.5-5",196
"378","1983","Compound 27-2.5-5",196
"379","1984","Compound 27-2.5-5",217
"380","1985","Compound 27-2.5-5",227
"381","1986","Compound 27-2.5-5",213
"382","1987","Compound 27-2.5-5",164
"383","1988","Compound 27-2.5-5",172
"384","1989","Compound 27-2.5-5",187
"385","1990","Compound 27-2.5-5",186
"386","1991","Compound 27-2.5-5",195
"387","1992","Compound 27-2.5-5",192
"388","1993","Compound 27-2.5-5",181
"389","1994","Compound 27-2.5-5",185
"390","1995","Compound 27-2.5-5",199
"391","1996","Compound 27-2.5-5",211
"392","1997","Compound 27-2.5-5",201
"393","1998","Compound 27-2.5-5",191
"394","1999","Compound 27-2.5-5",193
"395","2000","Compound 27-2.5-5",203
"396","2001","Compound 27-2.5-5",235
"397","2002","Compound 27-2.5-5",229
"398","2003","Compound 27-2.5-5",234
"399","2004","Compound 27-2.5-5",238
"400","2005","Compound 27-2.5-5",254
"401","2006","Compound 27-2.5-5",272
"402","2007","Compound 27-2.5-5",276
"403","2008","Compound 27-2.5-5",441
"404","2009","Compound 27-2.5-5",402
"405","2010","Compound 27-2.5-5",342
"406","2011","Compound 27-2.5-5",420
"407","2012","Compound 27-2.5-5",433
"408","2013","Compound 27-2.5-5",434
