"","Statistic","Month","Type.of.Cattle","value"
"237","Cattle Price per Head (Euro)","1985M11","Bullocks 200-249kg",389.03
"238","Cattle Price per 100 Kg (Euro)","1985M11","Bullocks 200-249kg",174.92
"239","Cattle Price per Head (Euro)","1985M12","Bullocks 200-249kg",401.12
"240","Cattle Price per 100 Kg (Euro)","1985M12","Bullocks 200-249kg",176.75
"241","Cattle Price per Head (Euro)","1986M01","Bullocks 200-249kg",422.82
"242","Cattle Price per 100 Kg (Euro)","1986M01","Bullocks 200-249kg",188.15
"243","Cattle Price per Head (Euro)","1986M02","Bullocks 200-249kg",433.69
"244","Cattle Price per 100 Kg (Euro)","1986M02","Bullocks 200-249kg",189.95
"245","Cattle Price per Head (Euro)","1986M03","Bullocks 200-249kg",423.44
"246","Cattle Price per 100 Kg (Euro)","1986M03","Bullocks 200-249kg",185.15
"247","Cattle Price per Head (Euro)","1986M04","Bullocks 200-249kg",412.42
"248","Cattle Price per 100 Kg (Euro)","1986M04","Bullocks 200-249kg",181.84
"249","Cattle Price per Head (Euro)","1986M05","Bullocks 200-249kg",391.59
"250","Cattle Price per 100 Kg (Euro)","1986M05","Bullocks 200-249kg",172.1
"251","Cattle Price per Head (Euro)","1986M06","Bullocks 200-249kg",373.4
"252","Cattle Price per 100 Kg (Euro)","1986M06","Bullocks 200-249kg",165.07
"253","Cattle Price per Head (Euro)","1986M07","Bullocks 200-249kg",359.95
"254","Cattle Price per 100 Kg (Euro)","1986M07","Bullocks 200-249kg",157.52
"255","Cattle Price per Head (Euro)","1986M08","Bullocks 200-249kg",332.24
"256","Cattle Price per 100 Kg (Euro)","1986M08","Bullocks 200-249kg",143.14
"257","Cattle Price per Head (Euro)","1986M09","Bullocks 200-249kg",323.54
"258","Cattle Price per 100 Kg (Euro)","1986M09","Bullocks 200-249kg",146.86
"259","Cattle Price per Head (Euro)","1986M10","Bullocks 200-249kg",354.76
"260","Cattle Price per 100 Kg (Euro)","1986M10","Bullocks 200-249kg",155.44
"261","Cattle Price per Head (Euro)","1986M11","Bullocks 200-249kg",343.5
"262","Cattle Price per 100 Kg (Euro)","1986M11","Bullocks 200-249kg",151.61
"263","Cattle Price per Head (Euro)","1986M12","Bullocks 200-249kg",357.76
"264","Cattle Price per 100 Kg (Euro)","1986M12","Bullocks 200-249kg",155.61
"265","Cattle Price per Head (Euro)","1987M01","Bullocks 200-249kg",384.31
"266","Cattle Price per 100 Kg (Euro)","1987M01","Bullocks 200-249kg",171.74
"267","Cattle Price per Head (Euro)","1987M02","Bullocks 200-249kg",392.2
"268","Cattle Price per 100 Kg (Euro)","1987M02","Bullocks 200-249kg",173.26
"269","Cattle Price per Head (Euro)","1987M03","Bullocks 200-249kg",406.18
"270","Cattle Price per 100 Kg (Euro)","1987M03","Bullocks 200-249kg",180.63
"271","Cattle Price per Head (Euro)","1987M04","Bullocks 200-249kg",423.97
"272","Cattle Price per 100 Kg (Euro)","1987M04","Bullocks 200-249kg",185.98
"273","Cattle Price per Head (Euro)","1987M05","Bullocks 200-249kg",426.84
"274","Cattle Price per 100 Kg (Euro)","1987M05","Bullocks 200-249kg",187.57
"275","Cattle Price per Head (Euro)","1987M06","Bullocks 200-249kg",409.66
"276","Cattle Price per 100 Kg (Euro)","1987M06","Bullocks 200-249kg",178.61
"277","Cattle Price per Head (Euro)","1987M07","Bullocks 200-249kg",411.09
"278","Cattle Price per 100 Kg (Euro)","1987M07","Bullocks 200-249kg",179.19
"279","Cattle Price per Head (Euro)","1987M08","Bullocks 200-249kg",430.85
"280","Cattle Price per 100 Kg (Euro)","1987M08","Bullocks 200-249kg",190.96
"281","Cattle Price per Head (Euro)","1987M09","Bullocks 200-249kg",420.49
"282","Cattle Price per 100 Kg (Euro)","1987M09","Bullocks 200-249kg",187.93
"283","Cattle Price per Head (Euro)","1987M10","Bullocks 200-249kg",409.34
"284","Cattle Price per 100 Kg (Euro)","1987M10","Bullocks 200-249kg",181.04
"285","Cattle Price per Head (Euro)","1987M11","Bullocks 200-249kg",427.85
"286","Cattle Price per 100 Kg (Euro)","1987M11","Bullocks 200-249kg",187.96
"287","Cattle Price per Head (Euro)","1987M12","Bullocks 200-249kg",474.49
"288","Cattle Price per 100 Kg (Euro)","1987M12","Bullocks 200-249kg",208.74
"289","Cattle Price per Head (Euro)","1988M01","Bullocks 200-249kg",509.36
"290","Cattle Price per 100 Kg (Euro)","1988M01","Bullocks 200-249kg",223.22
"291","Cattle Price per Head (Euro)","1988M02","Bullocks 200-249kg",512.33
"292","Cattle Price per 100 Kg (Euro)","1988M02","Bullocks 200-249kg",224.67
"293","Cattle Price per Head (Euro)","1988M03","Bullocks 200-249kg",535.07
"294","Cattle Price per 100 Kg (Euro)","1988M03","Bullocks 200-249kg",234.53
"295","Cattle Price per Head (Euro)","1988M04","Bullocks 200-249kg",563.38
"296","Cattle Price per 100 Kg (Euro)","1988M04","Bullocks 200-249kg",248.82
"297","Cattle Price per Head (Euro)","1988M05","Bullocks 200-249kg",574.05
"298","Cattle Price per 100 Kg (Euro)","1988M05","Bullocks 200-249kg",251.98
"299","Cattle Price per Head (Euro)","1988M06","Bullocks 200-249kg",560.12
"300","Cattle Price per 100 Kg (Euro)","1988M06","Bullocks 200-249kg",241.63
"301","Cattle Price per Head (Euro)","1988M07","Bullocks 200-249kg",542.44
"302","Cattle Price per 100 Kg (Euro)","1988M07","Bullocks 200-249kg",238
"303","Cattle Price per Head (Euro)","1988M08","Bullocks 200-249kg",539.84
"304","Cattle Price per 100 Kg (Euro)","1988M08","Bullocks 200-249kg",234.55
"305","Cattle Price per Head (Euro)","1988M09","Bullocks 200-249kg",534.85
"306","Cattle Price per 100 Kg (Euro)","1988M09","Bullocks 200-249kg",237.61
"307","Cattle Price per Head (Euro)","1988M10","Bullocks 200-249kg",523.06
