"","Statistic","Year","Type.of.Cattle","value"
"286","Cattle Price per 100 Kg (Euro)","2004","Bullocks 350-399kg",176.52
"287","Cattle Price per Head (Euro)","2005","Bullocks 350-399kg",582.61
"288","Cattle Price per 100 Kg (Euro)","2005","Bullocks 350-399kg",155.56
"289","Cattle Price per Head (Euro)","2006","Bullocks 350-399kg",583.23
"290","Cattle Price per 100 Kg (Euro)","2006","Bullocks 350-399kg",155.6
"291","Cattle Price per Head (Euro)","2007","Bullocks 350-399kg",598.94
"292","Cattle Price per 100 Kg (Euro)","2007","Bullocks 350-399kg",159.69
"293","Cattle Price per Head (Euro)","2008","Bullocks 350-399kg",650.04
"294","Cattle Price per 100 Kg (Euro)","2008","Bullocks 350-399kg",173.54
"295","Cattle Price per Head (Euro)","2009","Bullocks 350-399kg",560.64
"296","Cattle Price per 100 Kg (Euro)","2009","Bullocks 350-399kg",149.73
"297","Cattle Price per Head (Euro)","2010","Bullocks 350-399kg",582.32
"298","Cattle Price per 100 Kg (Euro)","2010","Bullocks 350-399kg",155.12
"299","Cattle Price per Head (Euro)","2011","Bullocks 350-399kg",740.8
"300","Cattle Price per 100 Kg (Euro)","2011","Bullocks 350-399kg",197.72
"301","Cattle Price per Head (Euro)","2012","Bullocks 350-399kg",810.3
"302","Cattle Price per 100 Kg (Euro)","2012","Bullocks 350-399kg",216.28
"303","Cattle Price per Head (Euro)","2013","Bullocks 350-399kg",737.21
"304","Cattle Price per 100 Kg (Euro)","2013","Bullocks 350-399kg",196.71
"305","Cattle Price per Head (Euro)","1976","Bullocks 400-449kg",302.43
"306","Cattle Price per 100 Kg (Euro)","1976","Bullocks 400-449kg",70.66
"307","Cattle Price per Head (Euro)","1977","Bullocks 400-449kg",356.36
"308","Cattle Price per 100 Kg (Euro)","1977","Bullocks 400-449kg",84.26
"309","Cattle Price per Head (Euro)","1978","Bullocks 400-449kg",423.53
"310","Cattle Price per 100 Kg (Euro)","1978","Bullocks 400-449kg",100.59
"311","Cattle Price per Head (Euro)","1979","Bullocks 400-449kg",441.82
"312","Cattle Price per 100 Kg (Euro)","1979","Bullocks 400-449kg",104.89
"313","Cattle Price per Head (Euro)","1980","Bullocks 400-449kg",426.14
"314","Cattle Price per 100 Kg (Euro)","1980","Bullocks 400-449kg",101.16
"315","Cattle Price per Head (Euro)","1981","Bullocks 400-449kg",522.9
"316","Cattle Price per 100 Kg (Euro)","1981","Bullocks 400-449kg",124.13
"317","Cattle Price per Head (Euro)","1982","Bullocks 400-449kg",580.31
"318","Cattle Price per 100 Kg (Euro)","1982","Bullocks 400-449kg",137.77
"319","Cattle Price per Head (Euro)","1983","Bullocks 400-449kg",629.02
"320","Cattle Price per 100 Kg (Euro)","1983","Bullocks 400-449kg",149.37
"321","Cattle Price per Head (Euro)","1984","Bullocks 400-449kg",662
"322","Cattle Price per 100 Kg (Euro)","1984","Bullocks 400-449kg",157.02
"323","Cattle Price per Head (Euro)","1985","Bullocks 400-449kg",654.24
"324","Cattle Price per 100 Kg (Euro)","1985","Bullocks 400-449kg",155.06
"325","Cattle Price per Head (Euro)","1986","Bullocks 400-449kg",609.56
"326","Cattle Price per 100 Kg (Euro)","1986","Bullocks 400-449kg",144.47
"327","Cattle Price per Head (Euro)","1987","Bullocks 400-449kg",677.99
