"","Region","Year","Type.of.Animal","value"
"413","West","2000","Dairy cows",69.6
"414","Mid-West","2000","Dairy cows",190.2
"415","South-East","2000","Dairy cows",243.2
"416","South-West","2000","Dairy cows",379.8
"417","State","2001","Dairy cows",1182.5
"418","Dublin plus Mid East","2001","Dairy cows",86.6
"419","Border","2001","Dairy cows",129.2
"420","Midland","2001","Dairy cows",79.9
"421","West","2001","Dairy cows",68.6
"422","Mid-West","2001","Dairy cows",190.2
"423","South-East","2001","Dairy cows",244.4
"424","South-West","2001","Dairy cows",383.7
"425","State","2002","Dairy cows",1164.1
"426","Dublin plus Mid East","2002","Dairy cows",84.2
"427","Border","2002","Dairy cows",128
"428","Midland","2002","Dairy cows",78.7
"429","West","2002","Dairy cows",68
"430","Mid-West","2002","Dairy cows",189.1
"431","South-East","2002","Dairy cows",240.1
"432","South-West","2002","Dairy cows",375.9
"433","State","2003","Dairy cows",1155.6
"434","Dublin plus Mid East","2003","Dairy cows",82.1
"435","Border","2003","Dairy cows",122.1
"436","Midland","2003","Dairy cows",81.9
"437","West","2003","Dairy cows",67.4
"438","Mid-West","2003","Dairy cows",187.3
"439","South-East","2003","Dairy cows",239.7
"440","South-West","2003","Dairy cows",375.2
"441","State","2004","Dairy cows",1156.1
"442","Dublin plus Mid East","2004","Dairy cows",81.7
"443","Border","2004","Dairy cows",120.5
"444","Midland","2004","Dairy cows",81.4
"445","West","2004","Dairy cows",65.6
"446","Mid-West","2004","Dairy cows",190.1
"447","South-East","2004","Dairy cows",241.5
"448","South-West","2004","Dairy cows",375.3
"449","State","1991","Other cows",817.3
"450","Dublin plus Mid East","1991","Other cows",59
"451","Border","1991","Other cows",164.5
"452","Midland","1991","Other cows",83
"453","West","1991","Other cows",190.3
"454","Mid-West","1991","Other cows",110.9
"455","South-East","1991","Other cows",103.8
"456","South-West","1991","Other cows",105.8
"457","State","1992","Other cows",889.1
"458","Dublin plus Mid East","1992","Other cows",65.3
"459","Border","1992","Other cows",174
"460","Midland","1992","Other cows",89.4
"461","West","1992","Other cows",199.4
"462","Mid-West","1992","Other cows",127.3
"463","South-East","1992","Other cows",111.8
"464","South-West","1992","Other cows",121.8
"465","State","1993","Other cows",979.7
"466","Dublin plus Mid East","1993","Other cows",70.7
"467","Border","1993","Other cows",191.1
"468","Midland","1993","Other cows",101.9
"469","West","1993","Other cows",217.8
"470","Mid-West","1993","Other cows",135.2
"471","South-East","1993","Other cows",126.4
"472","South-West","1993","Other cows",136.8
"473","State","1994","Other cows",1011
"474","Dublin plus Mid East","1994","Other cows",73.5
"475","Border","1994","Other cows",194
"476","Midland","1994","Other cows",106.4
"477","West","1994","Other cows",224.4
"478","Mid-West","1994","Other cows",140.1
"479","South-East","1994","Other cows",132.1
"480","South-West","1994","Other cows",140.6
"481","State","1995","Other cows",1039.1
"482","Dublin plus Mid East","1995","Other cows",76.6
"483","Border","1995","Other cows",200.2
"484","Midland","1995","Other cows",109.8
"485","West","1995","Other cows",231.2
"486","Mid-West","1995","Other cows",144.5
"487","South-East","1995","Other cows",134
"488","South-West","1995","Other cows",142.7
"489","State","1996","Other cows",1112.7
"490","Dublin plus Mid East","1996","Other cows",81.9
"491","Border","1996","Other cows",212.5
"492","Midland","1996","Other cows",119.9
"493","West","1996","Other cows",246.5
"494","Mid-West","1996","Other cows",156.4
"495","South-East","1996","Other cows",143.5
"496","South-West","1996","Other cows",151.9
"497","State","1997","Other cows",1201.9
"498","Dublin plus Mid East","1997","Other cows",86.4
"499","Border","1997","Other cows",231.8
"500","Midland","1997","Other cows",128.6
"501","West","1997","Other cows",270
"502","Mid-West","1997","Other cows",168.8
"503","South-East","1997","Other cows",152.4
"504","South-West","1997","Other cows",163.8
"505","State","1998","Other cows",1247.9
"506","Dublin plus Mid East","1998","Other cows",91.4
"507","Border","1998","Other cows",238.2
"508","Midland","1998","Other cows",133.8
"509","West","1998","Other cows",281.2
"510","Mid-West","1998","Other cows",178.9
"511","South-East","1998","Other cows",157
"512","South-West","1998","Other cows",167.5
"513","State","1999","Other cows",1217.3
"514","Dublin plus Mid East","1999","Other cows",89.6
"515","Border","1999","Other cows",234.9
"516","Midland","1999","Other cows",130.4
"517","West","1999","Other cows",276.3
"518","Mid-West","1999","Other cows",173.1
"519","South-East","1999","Other cows",155.1
"520","South-West","1999","Other cows",157.8
"521","State","2000","Other cows",1187
"522","Dublin plus Mid East","2000","Other cows",85.5
"523","Border","2000","Other cows",223.2
"524","Midland","2000","Other cows",140.2
"525","West","2000","Other cows",263.9
"526","Mid-West","2000","Other cows",167.2
"527","South-East","2000","Other cows",153.2
"528","South-West","2000","Other cows",153.8
"529","State","2001","Other cows",1196.8
"530","Dublin plus Mid East","2001","Other cows",82.8
"531","Border","2001","Other cows",225.1
"532","Midland","2001","Other cows",141
"533","West","2001","Other cows",266.3
"534","Mid-West","2001","Other cows",166.2
"535","South-East","2001","Other cows",156.5
"536","South-West","2001","Other cows",158.9
"537","State","2002","Other cows",1154.2
"538","Dublin plus Mid East","2002","Other cows",81.5
"539","Border","2002","Other cows",216.5
"540","Midland","2002","Other cows",142
"541","West","2002","Other cows",256.1
"542","Mid-West","2002","Other cows",158.2
"543","South-East","2002","Other cows",151.4
"544","South-West","2002","Other cows",148.6
"545","State","2003","Other cows",1187.3
"546","Dublin plus Mid East","2003","Other cows",86.5
"547","Border","2003","Other cows",218.4
"548","Midland","2003","Other cows",144.7
"549","West","2003","Other cows",263.5
"550","Mid-West","2003","Other cows",171.8
"551","South-East","2003","Other cows",152.5
"552","South-West","2003","Other cows",149.9
"553","State","2004","Other cows",1207.1
"554","Dublin plus Mid East","2004","Other cows",89.2
"555","Border","2004","Other cows",217.2
"556","Midland","2004","Other cows",147.9
"557","West","2004","Other cows",267
"558","Mid-West","2004","Other cows",173.9
"559","South-East","2004","Other cows",158.6
"560","South-West","2004","Other cows",153.3
"561","State","1991","Heifers in calf",179.8
"562","Dublin plus Mid East","1991","Heifers in calf",19.8
"563","Border","1991","Heifers in calf",18.9
"564","Midland","1991","Heifers in calf",16.4
"565","West","1991","Heifers in calf",17.8
"566","Mid-West","1991","Heifers in calf",26.1
"567","South-East","1991","Heifers in calf",37
"568","South-West","1991","Heifers in calf",43.8
"569","State","1992","Heifers in calf",269
"570","Dublin plus Mid East","1992","Heifers in calf",24.8
"571","Border","1992","Heifers in calf",30.1
"572","Midland","1992","Heifers in calf",23
"573","West","1992","Heifers in calf",29.9
"574","Mid-West","1992","Heifers in calf",41.4
"575","South-East","1992","Heifers in calf",53.4
"576","South-West","1992","Heifers in calf",66.1
"577","State","1993","Heifers in calf",299.4
"578","Dublin plus Mid East","1993","Heifers in calf",25.3
"579","Border","1993","Heifers in calf",34.9
"580","Midland","1993","Heifers in calf",25.6
"581","West","1993","Heifers in calf",31.5
"582","Mid-West","1993","Heifers in calf",47.9
"583","South-East","1993","Heifers in calf",56.3
"584","South-West","1993","Heifers in calf",78.2
"585","State","1994","Heifers in calf",305.4
"586","Dublin plus Mid East","1994","Heifers in calf",26.5
"587","Border","1994","Heifers in calf",33.3
"588","Midland","1994","Heifers in calf",26
"589","West","1994","Heifers in calf",29.1
"590","Mid-West","1994","Heifers in calf",46.8
"591","South-East","1994","Heifers in calf",60
"592","South-West","1994","Heifers in calf",83.4
"593","State","1995","Heifers in calf",341.3
"594","Dublin plus Mid East","1995","Heifers in calf",28.8
"595","Border","1995","Heifers in calf",39.8
"596","Midland","1995","Heifers in calf",29.8
"597","West","1995","Heifers in calf",35.1
"598","Mid-West","1995","Heifers in calf",52.5
"599","South-East","1995","Heifers in calf",63.4
"600","South-West","1995","Heifers in calf",92.1
"601","State","1996","Heifers in calf",360.2
"602","Dublin plus Mid East","1996","Heifers in calf",30
"603","Border","1996","Heifers in calf",42.5
"604","Midland","1996","Heifers in calf",31.3
"605","West","1996","Heifers in calf",39.1
"606","Mid-West","1996","Heifers in calf",55.9
"607","South-East","1996","Heifers in calf",65.3
"608","South-West","1996","Heifers in calf",96.3
"609","State","1997","Heifers in calf",387.4
"610","Dublin plus Mid East","1997","Heifers in calf",30.3
"611","Border","1997","Heifers in calf",46.1
"612","Midland","1997","Heifers in calf",35.4
"613","West","1997","Heifers in calf",44.1
"614","Mid-West","1997","Heifers in calf",59.7
"615","South-East","1997","Heifers in calf",67.7
"616","South-West","1997","Heifers in calf",104.2
"617","State","1998","Heifers in calf",355.5
"618","Dublin plus Mid East","1998","Heifers in calf",30.3
"619","Border","1998","Heifers in calf",45.4
"620","Midland","1998","Heifers in calf",33.1
"621","West","1998","Heifers in calf",37.5
"622","Mid-West","1998","Heifers in calf",51.7
"623","South-East","1998","Heifers in calf",61.5
"624","South-West","1998","Heifers in calf",96.1
"625","State","1999","Heifers in calf",330.1
"626","Dublin plus Mid East","1999","Heifers in calf",27.1
"627","Border","1999","Heifers in calf",40.8
"628","Midland","1999","Heifers in calf",31.4
"629","West","1999","Heifers in calf",33.1
"630","Mid-West","1999","Heifers in calf",47.8
"631","South-East","1999","Heifers in calf",61.8
"632","South-West","1999","Heifers in calf",88
"633","State","2000","Heifers in calf",331.6
"634","Dublin plus Mid East","2000","Heifers in calf",26.5
"635","Border","2000","Heifers in calf",43.9
"636","Midland","2000","Heifers in calf",28.2
"637","West","2000","Heifers in calf",36.3
"638","Mid-West","2000","Heifers in calf",50.4
"639","South-East","2000","Heifers in calf",59.8
"640","South-West","2000","Heifers in calf",86.4
"641","State","2001","Heifers in calf",331.1
"642","Dublin plus Mid East","2001","Heifers in calf",26.4
"643","Border","2001","Heifers in calf",44.5
"644","Midland","2001","Heifers in calf",29.2
"645","West","2001","Heifers in calf",37.3
"646","Mid-West","2001","Heifers in calf",49.4
"647","South-East","2001","Heifers in calf",58.9
"648","South-West","2001","Heifers in calf",85.3
"649","State","2002","Heifers in calf",373.9
"650","Dublin plus Mid East","2002","Heifers in calf",27.7
"651","Border","2002","Heifers in calf",50.9
"652","Midland","2002","Heifers in calf",35.1
"653","West","2002","Heifers in calf",46.1
"654","Mid-West","2002","Heifers in calf",56.3
"655","South-East","2002","Heifers in calf",63.6
"656","South-West","2002","Heifers in calf",94.2
"657","State","2003","Heifers in calf",352.8
"658","Dublin plus Mid East","2003","Heifers in calf",27.2
"659","Border","2003","Heifers in calf",45.6
"660","Midland","2003","Heifers in calf",31.1
"661","West","2003","Heifers in calf",39.4
"662","Mid-West","2003","Heifers in calf",55.9
"663","South-East","2003","Heifers in calf",62.6
"664","South-West","2003","Heifers in calf",90.9
"665","State","2004","Heifers in calf",369.2
"666","Dublin plus Mid East","2004","Heifers in calf",27.3
"667","Border","2004","Heifers in calf",46.3
