"","Statistic","Year","Type.of.Pig","Size.of.Herd","value"
"947","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","50-99",0
"948","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","50-99",1.6
"949","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","50-99",0
"950","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","50-99",1
"951","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","50-99",0
"952","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","50-99",0.7
"953","Number of Farms with Pigs (Thousand)","1973","Pigs","100+",NA
"954","Number of Pigs (Thousand)","1973","Pigs","100+",NA
"955","Number of Farms with Pigs (Thousand)","1975","Pigs","100+",NA
"956","Number of Pigs (Thousand)","1975","Pigs","100+",NA
"957","Number of Farms with Pigs (Thousand)","1977","Pigs","100+",NA
"958","Number of Pigs (Thousand)","1977","Pigs","100+",NA
"959","Number of Farms with Pigs (Thousand)","1979","Pigs","100+",NA
"960","Number of Pigs (Thousand)","1979","Pigs","100+",NA
"961","Number of Farms with Pigs (Thousand)","1981","Pigs","100+",NA
"962","Number of Pigs (Thousand)","1981","Pigs","100+",NA
"963","Number of Farms with Pigs (Thousand)","1983","Pigs","100+",NA
"964","Number of Pigs (Thousand)","1983","Pigs","100+",NA
"965","Number of Farms with Pigs (Thousand)","1985","Pigs","100+",NA
"966","Number of Pigs (Thousand)","1985","Pigs","100+",NA
"967","Number of Farms with Pigs (Thousand)","1987","Pigs","100+",NA
"968","Number of Pigs (Thousand)","1987","Pigs","100+",NA
"969","Number of Farms with Pigs (Thousand)","1989","Pigs","100+",NA
"970","Number of Pigs (Thousand)","1989","Pigs","100+",NA
"971","Number of Farms with Pigs (Thousand)","1991","Pigs","100+",NA
"972","Number of Pigs (Thousand)","1991","Pigs","100+",NA
"973","Number of Farms with Pigs (Thousand)","1993","Pigs","100+",NA
"974","Number of Pigs (Thousand)","1993","Pigs","100+",NA
"975","Number of Farms with Pigs (Thousand)","1995","Pigs","100+",NA
"976","Number of Pigs (Thousand)","1995","Pigs","100+",NA
"977","Number of Farms with Pigs (Thousand)","1997","Pigs","100+",NA
"978","Number of Pigs (Thousand)","1997","Pigs","100+",NA
"979","Number of Farms with Pigs (Thousand)","1999","Pigs","100+",NA
"980","Number of Pigs (Thousand)","1999","Pigs","100+",NA
"981","Number of Farms with Pigs (Thousand)","2001","Pigs","100+",NA
"982","Number of Pigs (Thousand)","2001","Pigs","100+",NA
"983","Number of Farms with Pigs (Thousand)","2003","Pigs","100+",NA
"984","Number of Pigs (Thousand)","2003","Pigs","100+",NA
"985","Number of Farms with Pigs (Thousand)","2005","Pigs","100+",NA
"986","Number of Pigs (Thousand)","2005","Pigs","100+",NA
"987","Number of Farms with Pigs (Thousand)","1973","Female Breeding Pigs","100+",0.1
"988","Number of Pigs (Thousand)","1973","Female Breeding Pigs","100+",21.4
"989","Number of Farms with Pigs (Thousand)","1975","Female Breeding Pigs","100+",0.1
"990","Number of Pigs (Thousand)","1975","Female Breeding Pigs","100+",38.5
"991","Number of Farms with Pigs (Thousand)","1977","Female Breeding Pigs","100+",0.2
"992","Number of Pigs (Thousand)","1977","Female Breeding Pigs","100+",54.6
"993","Number of Farms with Pigs (Thousand)","1979","Female Breeding Pigs","100+",0.3
"994","Number of Pigs (Thousand)","1979","Female Breeding Pigs","100+",66.7
"995","Number of Farms with Pigs (Thousand)","1981","Female Breeding Pigs","100+",0.3
"996","Number of Pigs (Thousand)","1981","Female Breeding Pigs","100+",77.6
"997","Number of Farms with Pigs (Thousand)","1983","Female Breeding Pigs","100+",0.3
"998","Number of Pigs (Thousand)","1983","Female Breeding Pigs","100+",79.9
"999","Number of Farms with Pigs (Thousand)","1985","Female Breeding Pigs","100+",0.3
"1000","Number of Pigs (Thousand)","1985","Female Breeding Pigs","100+",83.2
"1001","Number of Farms with Pigs (Thousand)","1987","Female Breeding Pigs","100+",0.3
"1002","Number of Pigs (Thousand)","1987","Female Breeding Pigs","100+",85.1
"1003","Number of Farms with Pigs (Thousand)","1989","Female Breeding Pigs","100+",0.3
"1004","Number of Pigs (Thousand)","1989","Female Breeding Pigs","100+",98.3
"1005","Number of Farms with Pigs (Thousand)","1991","Female Breeding Pigs","100+",0.4
"1006","Number of Pigs (Thousand)","1991","Female Breeding Pigs","100+",142.4
"1007","Number of Farms with Pigs (Thousand)","1993","Female Breeding Pigs","100+",0.4
"1008","Number of Pigs (Thousand)","1993","Female Breeding Pigs","100+",154.5
"1009","Number of Farms with Pigs (Thousand)","1995","Female Breeding Pigs","100+",0.4
"1010","Number of Pigs (Thousand)","1995","Female Breeding Pigs","100+",162.1
"1011","Number of Farms with Pigs (Thousand)","1997","Female Breeding Pigs","100+",0.4
"1012","Number of Pigs (Thousand)","1997","Female Breeding Pigs","100+",179.6
"1013","Number of Farms with Pigs (Thousand)","1999","Female Breeding Pigs","100+",0.4
"1014","Number of Pigs (Thousand)","1999","Female Breeding Pigs","100+",177.3
"1015","Number of Farms with Pigs (Thousand)","2001","Female Breeding Pigs","100+",0.3
"1016","Number of Pigs (Thousand)","2001","Female Breeding Pigs","100+",179.9
"1017","Number of Farms with Pigs (Thousand)","2003","Female Breeding Pigs","100+",0.3
"1018","Number of Pigs (Thousand)","2003","Female Breeding Pigs","100+",170.6
"1019","Number of Farms with Pigs (Thousand)","2005","Female Breeding Pigs","100+",0.3
"1020","Number of Pigs (Thousand)","2005","Female Breeding Pigs","100+",171.4
"1021","Number of Farms with Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1022","Number of Pigs (Thousand)","1973","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1023","Number of Farms with Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1024","Number of Pigs (Thousand)","1975","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1025","Number of Farms with Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1026","Number of Pigs (Thousand)","1977","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1027","Number of Farms with Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1028","Number of Pigs (Thousand)","1979","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1029","Number of Farms with Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1030","Number of Pigs (Thousand)","1981","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1031","Number of Farms with Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1032","Number of Pigs (Thousand)","1983","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1033","Number of Farms with Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1034","Number of Pigs (Thousand)","1985","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1035","Number of Farms with Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1036","Number of Pigs (Thousand)","1987","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1037","Number of Farms with Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1038","Number of Pigs (Thousand)","1989","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1039","Number of Farms with Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1040","Number of Pigs (Thousand)","1991","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1041","Number of Farms with Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1042","Number of Pigs (Thousand)","1993","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1043","Number of Farms with Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1044","Number of Pigs (Thousand)","1995","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1045","Number of Farms with Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1046","Number of Pigs (Thousand)","1997","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1047","Number of Farms with Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1048","Number of Pigs (Thousand)","1999","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1049","Number of Farms with Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1050","Number of Pigs (Thousand)","2001","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1051","Number of Farms with Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1052","Number of Pigs (Thousand)","2003","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1053","Number of Farms with Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1054","Number of Pigs (Thousand)","2005","Young Pigs (Less than 50kg Liveweight)","100+",NA
"1055","Number of Farms with Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1056","Number of Pigs (Thousand)","1973","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1057","Number of Farms with Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1058","Number of Pigs (Thousand)","1975","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1059","Number of Farms with Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1060","Number of Pigs (Thousand)","1977","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1061","Number of Farms with Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1062","Number of Pigs (Thousand)","1979","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1063","Number of Farms with Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1064","Number of Pigs (Thousand)","1981","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1065","Number of Farms with Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1066","Number of Pigs (Thousand)","1983","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1067","Number of Farms with Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1068","Number of Pigs (Thousand)","1985","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1069","Number of Farms with Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1070","Number of Pigs (Thousand)","1987","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1071","Number of Farms with Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1072","Number of Pigs (Thousand)","1989","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1073","Number of Farms with Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1074","Number of Pigs (Thousand)","1991","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1075","Number of Farms with Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1076","Number of Pigs (Thousand)","1993","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1077","Number of Farms with Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1078","Number of Pigs (Thousand)","1995","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1079","Number of Farms with Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1080","Number of Pigs (Thousand)","1997","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1081","Number of Farms with Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1082","Number of Pigs (Thousand)","1999","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1083","Number of Farms with Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1084","Number of Pigs (Thousand)","2001","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1085","Number of Farms with Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1086","Number of Pigs (Thousand)","2003","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1087","Number of Farms with Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1088","Number of Pigs (Thousand)","2005","Fattening Pigs (50kg+ Liveweight)","100+",NA
"1089","Number of Farms with Pigs (Thousand)","1973","Pigs","100-199",0.8
"1090","Number of Pigs (Thousand)","1973","Pigs","100-199",105.1
"1091","Number of Farms with Pigs (Thousand)","1975","Pigs","100-199",0.5
"1092","Number of Pigs (Thousand)","1975","Pigs","100-199",68.4
"1093","Number of Farms with Pigs (Thousand)","1977","Pigs","100-199",0.4
"1094","Number of Pigs (Thousand)","1977","Pigs","100-199",60.2
"1095","Number of Farms with Pigs (Thousand)","1979","Pigs","100-199",0.3
"1096","Number of Pigs (Thousand)","1979","Pigs","100-199",44.7
"1097","Number of Farms with Pigs (Thousand)","1981","Pigs","100-199",0.2
"1098","Number of Pigs (Thousand)","1981","Pigs","100-199",30.9
"1099","Number of Farms with Pigs (Thousand)","1983","Pigs","100-199",0.2
"1100","Number of Pigs (Thousand)","1983","Pigs","100-199",32.7
"1101","Number of Farms with Pigs (Thousand)","1985","Pigs","100-199",0.2
"1102","Number of Pigs (Thousand)","1985","Pigs","100-199",27
"1103","Number of Farms with Pigs (Thousand)","1987","Pigs","100-199",0.1
"1104","Number of Pigs (Thousand)","1987","Pigs","100-199",16.3
"1105","Number of Farms with Pigs (Thousand)","1989","Pigs","100-199",0.1
"1106","Number of Pigs (Thousand)","1989","Pigs","100-199",13.7
"1107","Number of Farms with Pigs (Thousand)","1991","Pigs","100-199",0.1
"1108","Number of Pigs (Thousand)","1991","Pigs","100-199",15.7
"1109","Number of Farms with Pigs (Thousand)","1993","Pigs","100-199",0.1
"1110","Number of Pigs (Thousand)","1993","Pigs","100-199",13.7
"1111","Number of Farms with Pigs (Thousand)","1995","Pigs","100-199",0.1
"1112","Number of Pigs (Thousand)","1995","Pigs","100-199",9.1
"1113","Number of Farms with Pigs (Thousand)","1997","Pigs","100-199",0.1
"1114","Number of Pigs (Thousand)","1997","Pigs","100-199",10
"1115","Number of Farms with Pigs (Thousand)","1999","Pigs","100-199",0.1
"1116","Number of Pigs (Thousand)","1999","Pigs","100-199",7.6
"1117","Number of Farms with Pigs (Thousand)","2001","Pigs","100-199",0
"1118","Number of Pigs (Thousand)","2001","Pigs","100-199",6.3
"1119","Number of Farms with Pigs (Thousand)","2003","Pigs","100-199",0
"1120","Number of Pigs (Thousand)","2003","Pigs","100-199",4
"1121","Number of Farms with Pigs (Thousand)","2005","Pigs","100-199",0
