"","Year","Type.of.Livestock","Rural.District","value"
"631","1975","Ewes for breeding","Leinster",610454
"632","1980","Ewes for breeding","Leinster",524703
"633","1926","Ewes : cheviot type","Leinster",NA
"634","1933","Ewes : cheviot type","Leinster",NA
"635","1955","Ewes : cheviot type","Leinster",NA
"636","1960","Ewes : cheviot type","Leinster",NA
"637","1965","Ewes : cheviot type","Leinster",317586
"638","1970","Ewes : cheviot type","Leinster",299234
"639","1975","Ewes : cheviot type","Leinster",255930
"640","1980","Ewes : cheviot type","Leinster",240147
"641","1926","Ewes : blackface moutain type","Leinster",NA
"642","1933","Ewes : blackface moutain type","Leinster",NA
"643","1955","Ewes : blackface moutain type","Leinster",NA
"644","1960","Ewes : blackface moutain type","Leinster",NA
"645","1965","Ewes : blackface moutain type","Leinster",132259
"646","1970","Ewes : blackface moutain type","Leinster",92893
"647","1975","Ewes : blackface moutain type","Leinster",97030
"648","1980","Ewes : blackface moutain type","Leinster",79690
"649","1926","Ewes : long woolled galway type","Leinster",NA
"650","1933","Ewes : long woolled galway type","Leinster",NA
"651","1955","Ewes : long woolled galway type","Leinster",NA
"652","1960","Ewes : long woolled galway type","Leinster",NA
"653","1965","Ewes : long woolled galway type","Leinster",186593
"654","1970","Ewes : long woolled galway type","Leinster",116260
"655","1975","Ewes : long woolled galway type","Leinster",71711
"656","1980","Ewes : long woolled galway type","Leinster",48468
"657","1926","Ewes : other breeds","Leinster",NA
"658","1933","Ewes : other breeds","Leinster",NA
"659","1955","Ewes : other breeds","Leinster",NA
"660","1960","Ewes : other breeds","Leinster",NA
"661","1965","Ewes : other breeds","Leinster",285175
"662","1970","Ewes : other breeds","Leinster",201899
"663","1975","Ewes : other breeds","Leinster",185783
"664","1980","Ewes : other breeds","Leinster",156398
"665","1926","Other sheep","Leinster",592680
"666","1933","Other sheep","Leinster",676179
"667","1955","Other sheep","Leinster",571867
"668","1960","Other sheep","Leinster",779648
"669","1965","Other sheep","Leinster",1098448
"670","1970","Other sheep","Leinster",791622
"671","1975","Other sheep","Leinster",677222
"672","1980","Other sheep","Leinster",581505
"673","1926","Other sheep : one year and over","Leinster",153904
"674","1933","Other sheep : one year and over","Leinster",155411
"675","1955","Other sheep : one year and over","Leinster",108655
"676","1960","Other sheep : one year and over","Leinster",133053
"677","1965","Other sheep : one year and over","Leinster",119992
"678","1970","Other sheep : one year and over","Leinster",80787
"679","1975","Other sheep : one year and over","Leinster",59445
"680","1980","Other sheep : one year and over","Leinster",56010
"681","1926","Other sheep : less than one year","Leinster",438776
"682","1933","Other sheep : less than one year","Leinster",520768
"683","1955","Other sheep : less than one year","Leinster",463212
"684","1960","Other sheep : less than one year","Leinster",646595
"685","1965","Other sheep : less than one year","Leinster",978456
"686","1970","Other sheep : less than one year","Leinster",710835
"687","1975","Other sheep : less than one year","Leinster",617777
"688","1980","Other sheep : less than one year","Leinster",525495
"689","1926","Pigs","Leinster",242988
"690","1933","Pigs","Leinster",250572
"691","1955","Pigs","Leinster",220650
"692","1960","Pigs","Leinster",294034
"693","1965","Pigs","Leinster",366791
"694","1970","Pigs","Leinster",322416
"695","1975","Pigs","Leinster",236770
"696","1980","Pigs","Leinster",319051
"697","1926","Pigs for breeding","Leinster",27973
"698","1933","Pigs for breeding","Leinster",27707
"699","1955","Pigs for breeding","Leinster",24298
"700","1960","Pigs for breeding","Leinster",37091
"701","1965","Pigs for breeding","Leinster",45809
"702","1970","Pigs for breeding","Leinster",45194
"703","1975","Pigs for breeding","Leinster",33690
"704","1980","Pigs for breeding","Leinster",38878
"705","1926","Boars for breeding","Leinster",814
"706","1933","Boars for breeding","Leinster",685
"707","1955","Boars for breeding","Leinster",732
"708","1960","Boars for breeding","Leinster",1098
"709","1965","Boars for breeding","Leinster",1313
"710","1970","Boars for breeding","Leinster",998
"711","1975","Boars for breeding","Leinster",903
"712","1980","Boars for breeding","Leinster",1384
"713","1926","Sows for breeding","Leinster",27159
"714","1933","Sows for breeding","Leinster",27022
"715","1955","Sows for breeding","Leinster",23566
"716","1960","Sows for breeding","Leinster",35993
"717","1965","Sows for breeding","Leinster",44496
"718","1970","Sows for breeding","Leinster",44196
"719","1975","Sows for breeding","Leinster",32787
"720","1980","Sows for breeding","Leinster",37494
"721","1926","Other pigs","Leinster",215015
"722","1933","Other pigs","Leinster",222865
"723","1955","Other pigs","Leinster",196352
"724","1960","Other pigs","Leinster",256943
"725","1965","Other pigs","Leinster",320982
"726","1970","Other pigs","Leinster",277222
"727","1975","Other pigs","Leinster",203080
"728","1980","Other pigs","Leinster",280173
"729","1926","Horses and ponies","Leinster",147278
"730","1933","Horses and ponies","Leinster",151312
"731","1955","Horses and ponies","Leinster",87503
"732","1960","Horses and ponies","Leinster",61928
"733","1965","Horses and ponies","Leinster",47173
"734","1970","Horses and ponies","Leinster",36643
"735","1975","Horses and ponies","Leinster",32738
"736","1980","Horses and ponies","Leinster",28771
"737","1926","Working horses and ponies","Leinster",NA
"738","1933","Working horses and ponies","Leinster",NA
"739","1955","Working horses and ponies","Leinster",NA
"740","1960","Working horses and ponies","Leinster",44028
"741","1965","Working horses and ponies","Leinster",26277
"742","1970","Working horses and ponies","Leinster",16806
"743","1975","Working horses and ponies","Leinster",6973
"744","1980","Working horses and ponies","Leinster",3401
"745","1926","Thoroughbreds","Leinster",NA
"746","1933","Thoroughbreds","Leinster",NA
"747","1955","Thoroughbreds","Leinster",NA
"748","1960","Thoroughbreds","Leinster",8224
"749","1965","Thoroughbreds","Leinster",10612
"750","1970","Thoroughbreds","Leinster",11010
"751","1975","Thoroughbreds","Leinster",11633
"752","1980","Thoroughbreds","Leinster",10399
"753","1926","Other horses and ponies","Leinster",NA
"754","1933","Other horses and ponies","Leinster",NA
"755","1955","Other horses and ponies","Leinster",NA
"756","1960","Other horses and ponies","Leinster",9676
"757","1965","Other horses and ponies","Leinster",10284
"758","1970","Other horses and ponies","Leinster",8827
"759","1975","Other horses and ponies","Leinster",14132
"760","1980","Other horses and ponies","Leinster",14971
"761","1926","Mules, jennets and asses","Leinster",NA
"762","1933","Mules, jennets and asses","Leinster",NA
"763","1955","Mules, jennets and asses","Leinster",NA
"764","1960","Mules, jennets and asses","Leinster",NA
"765","1965","Mules, jennets and asses","Leinster",NA
"766","1970","Mules, jennets and asses","Leinster",NA
"767","1975","Mules, jennets and asses","Leinster",5170
"768","1980","Mules, jennets and asses","Leinster",3551
"769","1926","Goats","Leinster",NA
"770","1933","Goats","Leinster",NA
"771","1955","Goats","Leinster",NA
"772","1960","Goats","Leinster",NA
"773","1965","Goats","Leinster",NA
"774","1970","Goats","Leinster",NA
"775","1975","Goats","Leinster",NA
"776","1980","Goats","Leinster",2810
"777","1926","Poultry","Leinster",5430720
"778","1933","Poultry","Leinster",5533728
"779","1955","Poultry","Leinster",3926704
"780","1960","Poultry","Leinster",3506458
"781","1965","Poultry","Leinster",3386478
"782","1970","Poultry","Leinster",3539967
"783","1975","Poultry","Leinster",2595630
"784","1980","Poultry","Leinster",2104758
"785","1926","Turkeys","Leinster",345697
"786","1933","Turkeys","Leinster",415771
"787","1955","Turkeys","Leinster",356761
"788","1960","Turkeys","Leinster",320346
"789","1965","Turkeys","Leinster",218789
"790","1970","Turkeys","Leinster",209686
"791","1975","Turkeys","Leinster",129252
"792","1980","Turkeys","Leinster",239444
"793","1926","Geese","Leinster",212937
"794","1933","Geese","Leinster",188445
"795","1955","Geese","Leinster",81348
"796","1960","Geese","Leinster",68848
"797","1965","Geese","Leinster",42076
"798","1970","Geese","Leinster",24647
"799","1975","Geese","Leinster",14589
"800","1980","Geese","Leinster",10532
"801","1926","Ducks","Leinster",563075
"802","1933","Ducks","Leinster",451471
"803","1955","Ducks","Leinster",149182
"804","1960","Ducks","Leinster",94451
"805","1965","Ducks","Leinster",61205
"806","1970","Ducks","Leinster",32770
"807","1975","Ducks","Leinster",22983
"808","1980","Ducks","Leinster",19588
"809","1926","Ordinary fowl","Leinster",4309011
"810","1933","Ordinary fowl","Leinster",4478041
"811","1955","Ordinary fowl","Leinster",3339413
"812","1960","Ordinary fowl","Leinster",3022813
"813","1965","Ordinary fowl","Leinster",3064408
"814","1970","Ordinary fowl","Leinster",3272864
"815","1975","Ordinary fowl","Leinster",2428806
"816","1980","Ordinary fowl","Leinster",1835194
"817","1926","Cattle","Co. Carlow",53640
"818","1933","Cattle","Co. Carlow",53695
"819","1955","Cattle","Co. Carlow",63326
"820","1960","Cattle","Co. Carlow",62240
"821","1965","Cattle","Co. Carlow",73248
"822","1970","Cattle","Co. Carlow",83833
"823","1975","Cattle","Co. Carlow",108592
"824","1980","Cattle","Co. Carlow",95935
"825","1926","Bulls","Co. Carlow",242
"826","1933","Bulls","Co. Carlow",294
"827","1955","Bulls","Co. Carlow",193
"828","1960","Bulls","Co. Carlow",240
"829","1965","Bulls","Co. Carlow",237
"830","1970","Bulls","Co. Carlow",253
"831","1975","Bulls","Co. Carlow",249
"832","1980","Bulls","Co. Carlow",187
"833","1926","Cows","Co. Carlow",11885
"834","1933","Cows","Co. Carlow",12614
"835","1955","Cows","Co. Carlow",13106
"836","1960","Cows","Co. Carlow",13822
"837","1965","Cows","Co. Carlow",17476
"838","1970","Cows","Co. Carlow",20088
"839","1975","Cows","Co. Carlow",26959
"840","1980","Cows","Co. Carlow",22042
"841","1926","Dairy cows","Co. Carlow",NA
"842","1933","Dairy cows","Co. Carlow",NA
"843","1955","Dairy cows","Co. Carlow",NA
"844","1960","Dairy cows","Co. Carlow",NA
"845","1965","Dairy cows","Co. Carlow",NA
"846","1970","Dairy cows","Co. Carlow",NA
"847","1975","Dairy cows","Co. Carlow",12062
"848","1980","Dairy cows","Co. Carlow",13698
"849","1926","Other cows","Co. Carlow",NA
"850","1933","Other cows","Co. Carlow",NA
"851","1955","Other cows","Co. Carlow",NA
"852","1960","Other cows","Co. Carlow",NA
"853","1965","Other cows","Co. Carlow",NA
"854","1970","Other cows","Co. Carlow",NA
"855","1975","Other cows","Co. Carlow",14897
"856","1980","Other cows","Co. Carlow",8344
"857","1926","Cows : friesian and friesian cross","Co. Carlow",NA
"858","1933","Cows : friesian and friesian cross","Co. Carlow",NA
"859","1955","Cows : friesian and friesian cross","Co. Carlow",NA
"860","1960","Cows : friesian and friesian cross","Co. Carlow",719
"861","1965","Cows : friesian and friesian cross","Co. Carlow",3547
"862","1970","Cows : friesian and friesian cross","Co. Carlow",9061
"863","1975","Cows : friesian and friesian cross","Co. Carlow",15234
"864","1980","Cows : friesian and friesian cross","Co. Carlow",16578
"865","1926","Cows : shorthorn","Co. Carlow",NA
"866","1933","Cows : shorthorn","Co. Carlow",NA
"867","1955","Cows : shorthorn","Co. Carlow",NA
"868","1960","Cows : shorthorn","Co. Carlow",11544
"869","1965","Cows : shorthorn","Co. Carlow",11050
"870","1970","Cows : shorthorn","Co. Carlow",7890
"871","1975","Cows : shorthorn","Co. Carlow",4312
"872","1980","Cows : shorthorn","Co. Carlow",1886
"873","1926","Cows : other breeds","Co. Carlow",NA
"874","1933","Cows : other breeds","Co. Carlow",NA
"875","1955","Cows : other breeds","Co. Carlow",NA
"876","1960","Cows : other breeds","Co. Carlow",1559
"877","1965","Cows : other breeds","Co. Carlow",2879
"878","1970","Cows : other breeds","Co. Carlow",3137
"879","1975","Cows : other breeds","Co. Carlow",7413
"880","1980","Cows : other breeds","Co. Carlow",3578
"881","1926","Heifers in calf","Co. Carlow",2514
"882","1933","Heifers in calf","Co. Carlow",1618
"883","1955","Heifers in calf","Co. Carlow",1806
"884","1960","Heifers in calf","Co. Carlow",2361
"885","1965","Heifers in calf","Co. Carlow",3534
"886","1970","Heifers in calf","Co. Carlow",3844
"887","1975","Heifers in calf","Co. Carlow",4295
"888","1980","Heifers in calf","Co. Carlow",3742
"889","1926","Dairy heifers","Co. Carlow",NA
"890","1933","Dairy heifers","Co. Carlow",NA
"891","1955","Dairy heifers","Co. Carlow",NA
"892","1960","Dairy heifers","Co. Carlow",NA
"893","1965","Dairy heifers","Co. Carlow",NA
"894","1970","Dairy heifers","Co. Carlow",NA
"895","1975","Dairy heifers","Co. Carlow",NA
"896","1980","Dairy heifers","Co. Carlow",2637
"897","1926","Other heifers","Co. Carlow",NA
"898","1933","Other heifers","Co. Carlow",NA
"899","1955","Other heifers","Co. Carlow",NA
"900","1960","Other heifers","Co. Carlow",NA
"901","1965","Other heifers","Co. Carlow",NA
